vg	vd	ids
0.0	0.0	2.0024e-11
0.0	0.05	2.4766e-09
0.0	0.1	2.8605e-09
0.0	0.15	2.9268e-09
0.0	0.2	2.9451e-09
0.0	0.25	2.9554e-09
0.0	0.3	2.9639e-09
0.0	0.35	2.9715e-09
0.0	0.4	2.9785e-09
0.0	0.45	2.9849e-09
0.0	0.5	2.9909e-09
0.05	0.0	1.3369e-10
0.05	0.05	1.6476e-08
0.05	0.1	1.9073e-08
0.05	0.15	1.9527e-08
0.05	0.2	1.9655e-08
0.05	0.25	1.9727e-08
0.05	0.3	1.9786e-08
0.05	0.35	1.9838e-08
0.05	0.4	1.9885e-08
0.05	0.45	1.9928e-08
0.05	0.5	1.9967e-08
0.1	0.0	8.2285e-10
0.1	0.05	1.0403e-07
0.1	0.1	1.2133e-07
0.1	0.15	1.2441e-07
0.1	0.2	1.2526e-07
0.1	0.25	1.2573e-07
0.1	0.3	1.261e-07
0.1	0.35	1.2642e-07
0.1	0.4	1.2671e-07
0.1	0.45	1.2697e-07
0.1	0.5	1.2721e-07
0.15	0.0	3.6821e-09
0.15	0.05	5.2639e-07
0.15	0.1	6.3264e-07
0.15	0.15	6.5213e-07
0.15	0.2	6.5716e-07
0.15	0.25	6.5961e-07
0.15	0.3	6.6142e-07
0.15	0.35	6.6295e-07
0.15	0.4	6.6428e-07
0.15	0.45	6.6548e-07
0.15	0.5	6.6655e-07
0.2	0.0	9.712e-09
0.2	0.05	1.6705e-06
0.2	0.1	2.1419e-06
0.2	0.15	2.2383e-06
0.2	0.2	2.261e-06
0.2	0.25	2.2701e-06
0.2	0.3	2.276e-06
0.2	0.35	2.2808e-06
0.2	0.4	2.2848e-06
0.2	0.45	2.2883e-06
0.2	0.5	2.2914e-06
0.25	0.0	1.7324e-08
0.25	0.05	3.4502e-06
0.25	0.1	4.7879e-06
0.25	0.15	5.1098e-06
0.25	0.2	5.1863e-06
0.25	0.25	5.2104e-06
0.25	0.3	5.2236e-06
0.25	0.35	5.2335e-06
0.25	0.4	5.2416e-06
0.25	0.45	5.2486e-06
0.25	0.5	5.2548e-06
0.3	0.0	2.5053e-08
0.3	0.05	5.5236e-06
0.3	0.1	8.2472e-06
0.3	0.15	9.0687e-06
0.3	0.2	9.2623e-06
0.3	0.25	9.3211e-06
0.3	0.3	9.3466e-06
0.3	0.35	9.3635e-06
0.3	0.4	9.3768e-06
0.3	0.45	9.388e-06
0.3	0.5	9.3978e-06
0.35	0.0	3.2183e-08
0.35	0.05	7.6189e-06
0.35	0.1	1.2092e-05
0.35	0.15	1.3834e-05
0.35	0.2	1.4291e-05
0.35	0.25	1.4412e-05
0.35	0.3	1.4457e-05
0.35	0.35	1.4484e-05
0.35	0.4	1.4506e-05
0.35	0.45	1.4522e-05
0.35	0.5	1.4536e-05
0.4	0.0	3.8478e-08
0.4	0.05	9.564e-06
0.4	0.1	1.6033e-05
0.4	0.15	1.9112e-05
0.4	0.2	2.0065e-05
0.4	0.25	2.0329e-05
0.4	0.3	2.0413e-05
0.4	0.35	2.0453e-05
0.4	0.4	2.048e-05
0.4	0.45	2.0502e-05
0.4	0.5	2.0519e-05
0.45	0.0	4.396e-08
0.45	0.05	1.1285e-05
0.45	0.1	1.9746e-05
0.45	0.15	2.45e-05
0.45	0.2	2.6374e-05
0.45	0.25	2.692e-05
0.45	0.3	2.7083e-05
0.45	0.35	2.7148e-05
0.45	0.4	2.7186e-05
0.45	0.45	2.7216e-05
0.45	0.5	2.7239e-05
0.5	0.0	4.8727e-08
0.5	0.05	1.2773e-05
0.5	0.1	2.3057e-05
0.5	0.15	2.9753e-05
0.5	0.2	3.2941e-05
0.5	0.25	3.402e-05
0.5	0.3	3.4347e-05
0.5	0.35	3.4468e-05
0.5	0.4	3.4524e-05
0.5	0.45	3.456e-05
0.5	0.5	3.4587e-05
