vg	vd	ids
0.0	0.0	8.9336e-11
0.0	0.05	1.3873e-08
0.0	0.1	1.7593e-08
0.0	0.15	1.9476e-08
0.0	0.2	2.1098e-08
0.0	0.25	2.2694e-08
0.0	0.3	2.4204e-08
0.0	0.35	2.5617e-08
0.0	0.4	2.7023e-08
0.0	0.45	2.8447e-08
0.0	0.5	2.9894e-08
0.05	0.0	4.4814e-10
0.05	0.05	7.1004e-08
0.05	0.1	9.0339e-08
0.05	0.15	1.0009e-07
0.05	0.2	1.0793e-07
0.05	0.25	1.1487e-07
0.05	0.3	1.2157e-07
0.05	0.35	1.283e-07
0.05	0.4	1.3507e-07
0.05	0.45	1.4175e-07
0.05	0.5	1.4805e-07
0.1	0.0	1.931e-09
0.1	0.05	3.2184e-07
0.1	0.1	4.1377e-07
0.1	0.15	4.5383e-07
0.1	0.2	4.8295e-07
0.1	0.25	5.0961e-07
0.1	0.3	5.3422e-07
0.1	0.35	5.5666e-07
0.1	0.4	5.7809e-07
0.1	0.45	5.991e-07
0.1	0.5	6.1983e-07
0.15	0.0	6.1548e-09
0.15	0.05	1.1234e-06
0.15	0.1	1.4661e-06
0.15	0.15	1.5914e-06
0.15	0.2	1.6662e-06
0.15	0.25	1.7275e-06
0.15	0.3	1.7835e-06
0.15	0.35	1.8351e-06
0.15	0.4	1.8823e-06
0.15	0.45	1.9263e-06
0.15	0.5	1.968e-06
0.2	0.0	1.3808e-08
0.2	0.05	2.7774e-06
0.2	0.1	3.7383e-06
0.2	0.15	4.0315e-06
0.2	0.2	4.1752e-06
0.2	0.25	4.2723e-06
0.2	0.3	4.3554e-06
0.2	0.35	4.4311e-06
0.2	0.4	4.5012e-06
0.2	0.45	4.5663e-06
0.2	0.5	4.6268e-06
0.25	0.0	2.377e-08
0.25	0.05	5.1656e-06
0.25	0.1	7.2712e-06
0.25	0.15	7.892e-06
0.25	0.2	8.1206e-06
0.25	0.25	8.2495e-06
0.25	0.3	8.3511e-06
0.25	0.35	8.4402e-06
0.25	0.4	8.5215e-06
0.25	0.45	8.5971e-06
0.25	0.5	8.6681e-06
0.3	0.0	3.4608e-08
0.3	0.05	7.9352e-06
0.3	0.1	1.1795e-05
0.3	0.15	1.3019e-05
0.3	0.2	1.3374e-05
0.3	0.25	1.3551e-05
0.3	0.3	1.3668e-05
0.3	0.35	1.3767e-05
0.3	0.4	1.3855e-05
0.3	0.45	1.3935e-05
0.3	0.5	1.401e-05
0.35	0.0	4.5343e-08
0.35	0.05	1.0759e-05
0.35	0.1	1.6933e-05
0.35	0.15	1.9176e-05
0.35	0.2	1.9811e-05
0.35	0.25	2.0043e-05
0.35	0.3	2.018e-05
0.35	0.35	2.0295e-05
0.35	0.4	2.0388e-05
0.35	0.45	2.0471e-05
0.35	0.5	2.0547e-05
0.4	0.0	5.5415e-08
0.4	0.05	1.3421e-05
0.4	0.1	2.2268e-05
0.4	0.15	2.611e-05
0.4	0.2	2.7262e-05
0.4	0.25	2.7624e-05
0.4	0.3	2.7808e-05
0.4	0.35	2.7928e-05
0.4	0.4	2.8025e-05
0.4	0.45	2.8111e-05
0.4	0.5	2.8189e-05
0.45	0.0	6.4578e-08
0.45	0.05	1.5815e-05
0.45	0.1	2.7411e-05
0.45	0.15	3.3385e-05
0.45	0.2	3.5531e-05
0.45	0.25	3.6183e-05
0.45	0.3	3.643e-05
0.45	0.35	3.6571e-05
0.45	0.4	3.6677e-05
0.45	0.45	3.6767e-05
0.45	0.5	3.6853e-05
0.5	0.0	7.2831e-08
0.5	0.05	1.7928e-05
0.5	0.1	3.2113e-05
0.5	0.15	4.0657e-05
0.5	0.2	4.4328e-05
0.5	0.25	4.5513e-05
0.5	0.3	4.5916e-05
0.5	0.35	4.6104e-05
0.5	0.4	4.6227e-05
0.5	0.45	4.6325e-05
0.5	0.5	4.6415e-05
