vg	vd	ids
0.0	0.0	4.225e-12
0.0	0.05	2.5584e-09
0.0	0.1	2.9696e-09
0.0	0.15	3.0493e-09
0.0	0.2	3.078e-09
0.0	0.25	3.0977e-09
0.0	0.3	3.1149e-09
0.0	0.35	3.1306e-09
0.0	0.4	3.1452e-09
0.0	0.45	3.1588e-09
0.0	0.5	3.1716e-09
0.05	0.0	2.8156e-11
0.05	0.05	1.6818e-08
0.05	0.1	1.9568e-08
0.05	0.15	2.0104e-08
0.05	0.2	2.0296e-08
0.05	0.25	2.0426e-08
0.05	0.3	2.0537e-08
0.05	0.35	2.0638e-08
0.05	0.4	2.0731e-08
0.05	0.45	2.0818e-08
0.05	0.5	2.0898e-08
0.1	0.0	1.7423e-10
0.1	0.05	1.0495e-07
0.1	0.1	1.2297e-07
0.1	0.15	1.2648e-07
0.1	0.2	1.2767e-07
0.1	0.25	1.2844e-07
0.1	0.3	1.2908e-07
0.1	0.35	1.2965e-07
0.1	0.4	1.3017e-07
0.1	0.45	1.3065e-07
0.1	0.5	1.311e-07
0.15	0.0	7.9649e-10
0.15	0.05	5.2589e-07
0.15	0.1	6.3423e-07
0.15	0.15	6.5507e-07
0.15	0.2	6.6113e-07
0.15	0.25	6.6447e-07
0.15	0.3	6.6708e-07
0.15	0.35	6.6935e-07
0.15	0.4	6.7138e-07
0.15	0.45	6.7321e-07
0.15	0.5	6.749e-07
0.2	0.0	2.2637e-09
0.2	0.05	1.6643e-06
0.2	0.1	2.1367e-06
0.2	0.15	2.2342e-06
0.2	0.2	2.2583e-06
0.2	0.25	2.2686e-06
0.2	0.3	2.2756e-06
0.2	0.35	2.2813e-06
0.2	0.4	2.2862e-06
0.2	0.45	2.2906e-06
0.2	0.5	2.2946e-06
0.25	0.0	4.3285e-09
0.25	0.05	3.4333e-06
0.25	0.1	4.7624e-06
0.25	0.15	5.0801e-06
0.25	0.2	5.1567e-06
0.25	0.25	5.1818e-06
0.25	0.3	5.196e-06
0.25	0.35	5.2068e-06
0.25	0.4	5.2158e-06
0.25	0.45	5.2236e-06
0.25	0.5	5.2305e-06
0.3	0.0	6.6401e-09
0.3	0.05	5.4939e-06
0.3	0.1	8.1607e-06
0.3	0.15	8.9848e-06
0.3	0.2	9.1731e-06
0.3	0.25	9.2317e-06
0.3	0.3	9.258e-06
0.3	0.35	9.2758e-06
0.3	0.4	9.2899e-06
0.3	0.45	9.302e-06
0.3	0.5	9.3125e-06
0.35	0.0	8.9153e-09
0.35	0.05	7.5861e-06
0.35	0.1	1.2002e-05
0.35	0.15	1.3679e-05
0.35	0.2	1.4112e-05
0.35	0.25	1.4228e-05
0.35	0.3	1.4274e-05
0.35	0.35	1.4303e-05
0.35	0.4	1.4324e-05
0.35	0.45	1.4341e-05
0.35	0.5	1.4355e-05
0.4	0.0	1.0993e-08
0.4	0.05	9.544e-06
0.4	0.1	1.5938e-05
0.4	0.15	1.8896e-05
0.4	0.2	1.9785e-05
0.4	0.25	2.003e-05
0.4	0.3	2.011e-05
0.4	0.35	2.0151e-05
0.4	0.4	2.0179e-05
0.4	0.45	2.0201e-05
0.4	0.5	2.022e-05
0.45	0.0	1.281e-08
0.45	0.05	1.1292e-05
0.45	0.1	1.9689e-05
0.45	0.15	2.4276e-05
0.45	0.2	2.601e-05
0.45	0.25	2.6508e-05
0.45	0.3	2.6658e-05
0.45	0.35	2.6721e-05
0.45	0.4	2.6759e-05
0.45	0.45	2.679e-05
0.45	0.5	2.6814e-05
0.5	0.0	1.4359e-08
0.5	0.05	1.2816e-05
0.5	0.1	2.3077e-05
0.5	0.15	2.9593e-05
0.5	0.2	3.2564e-05
0.5	0.25	3.3535e-05
0.5	0.3	3.3827e-05
0.5	0.35	3.3939e-05
0.5	0.4	3.3994e-05
0.5	0.45	3.403e-05
0.5	0.5	3.4058e-05
