vg	vd	ids
0.0	0.0	3.8873e-11
0.0	0.05	8.3842e-09
0.0	0.1	1.0345e-08
0.0	0.15	1.117e-08
0.0	0.2	1.1811e-08
0.0	0.25	1.2423e-08
0.0	0.3	1.3024e-08
0.0	0.35	1.3596e-08
0.0	0.4	1.412e-08
0.0	0.45	1.4616e-08
0.0	0.5	1.5101e-08
0.05	0.0	2.2462e-10
0.05	0.05	4.6582e-08
0.05	0.1	5.761e-08
0.05	0.15	6.2264e-08
0.05	0.2	6.5826e-08
0.05	0.25	6.9001e-08
0.05	0.3	7.185e-08
0.05	0.35	7.4558e-08
0.05	0.4	7.7212e-08
0.05	0.45	7.9832e-08
0.05	0.5	8.2422e-08
0.1	0.0	1.0824e-09
0.1	0.05	2.3302e-07
0.1	0.1	2.9105e-07
0.1	0.15	3.135e-07
0.1	0.2	3.2833e-07
0.1	0.25	3.4131e-07
0.1	0.3	3.536e-07
0.1	0.35	3.6522e-07
0.1	0.4	3.759e-07
0.1	0.45	3.8574e-07
0.1	0.5	3.9506e-07
0.15	0.0	3.728e-09
0.15	0.05	8.9859e-07
0.15	0.1	1.1461e-06
0.15	0.15	1.2261e-06
0.15	0.2	1.2708e-06
0.15	0.25	1.3056e-06
0.15	0.3	1.3366e-06
0.15	0.35	1.3655e-06
0.15	0.4	1.3925e-06
0.15	0.45	1.4177e-06
0.15	0.5	1.4409e-06
0.2	0.0	8.5693e-09
0.2	0.05	2.3685e-06
0.2	0.1	3.1415e-06
0.2	0.15	3.3629e-06
0.2	0.2	3.4527e-06
0.2	0.25	3.5131e-06
0.2	0.3	3.5632e-06
0.2	0.35	3.6082e-06
0.2	0.4	3.6497e-06
0.2	0.45	3.6883e-06
0.2	0.5	3.7243e-06
0.25	0.0	1.4669e-08
0.25	0.05	4.5211e-06
0.25	0.1	6.3512e-06
0.25	0.15	6.8533e-06
0.25	0.2	7.0117e-06
0.25	0.25	7.0964e-06
0.25	0.3	7.1606e-06
0.25	0.35	7.2159e-06
0.25	0.4	7.2699e-06
0.25	0.45	7.3158e-06
0.25	0.5	7.3582e-06
0.3	0.0	2.1063e-08
0.3	0.05	7.0131e-06
0.3	0.1	1.0465e-05
0.3	0.15	1.1509e-05
0.3	0.2	1.1807e-05
0.3	0.25	1.1925e-05
0.3	0.3	1.2003e-05
0.3	0.35	1.2065e-05
0.3	0.4	1.212e-05
0.3	0.45	1.2175e-05
0.3	0.5	1.2221e-05
0.35	0.0	2.72e-08
0.35	0.05	9.5282e-06
0.35	0.1	1.5099e-05
0.35	0.15	1.7089e-05
0.35	0.2	1.7646e-05
0.35	0.25	1.7838e-05
0.35	0.3	1.7934e-05
0.35	0.35	1.8005e-05
0.35	0.4	1.8064e-05
0.35	0.45	1.8117e-05
0.35	0.5	1.8165e-05
0.4	0.0	3.2824e-08
0.4	0.05	1.1868e-05
0.4	0.1	1.9775e-05
0.4	0.15	2.3306e-05
0.4	0.2	2.438e-05
0.4	0.25	2.4689e-05
0.4	0.3	2.482e-05
0.4	0.35	2.4903e-05
0.4	0.4	2.4974e-05
0.4	0.45	2.5031e-05
0.4	0.5	2.5081e-05
0.45	0.0	3.7852e-08
0.45	0.05	1.3948e-05
0.45	0.1	2.4282e-05
0.45	0.15	2.9807e-05
0.45	0.2	3.1783e-05
0.45	0.25	3.2352e-05
0.45	0.3	3.2565e-05
0.45	0.35	3.2671e-05
0.45	0.4	3.2745e-05
0.45	0.45	3.2806e-05
0.45	0.5	3.2859e-05
0.5	0.0	4.2328e-08
0.5	0.05	1.5757e-05
0.5	0.1	2.8323e-05
0.5	0.15	3.6095e-05
0.5	0.2	3.9551e-05
0.5	0.25	4.0663e-05
0.5	0.3	4.1031e-05
0.5	0.35	4.1185e-05
0.5	0.4	4.1276e-05
0.5	0.45	4.1344e-05
0.5	0.5	4.1401e-05
