vg	vd	ids
0.0	0.0	1.1216e-12
0.0	0.05	1.3684e-09
0.0	0.1	1.5804e-09
0.0	0.15	1.6158e-09
0.0	0.2	1.6247e-09
0.0	0.25	1.6294e-09
0.0	0.3	1.6331e-09
0.0	0.35	1.6364e-09
0.0	0.4	1.6395e-09
0.0	0.45	1.6423e-09
0.0	0.5	1.6448e-09
0.05	0.0	2.7893e-12
0.05	0.05	9.1595e-09
0.05	0.1	1.0597e-08
0.05	0.15	1.0841e-08
0.05	0.2	1.0904e-08
0.05	0.25	1.0937e-08
0.05	0.3	1.0963e-08
0.05	0.35	1.0987e-08
0.05	0.4	1.1007e-08
0.05	0.45	1.1027e-08
0.05	0.5	1.1044e-08
0.1	0.0	1.3436e-11
0.1	0.05	5.9224e-08
0.1	0.1	6.8881e-08
0.1	0.15	7.0547e-08
0.1	0.2	7.0981e-08
0.1	0.25	7.1207e-08
0.1	0.3	7.1382e-08
0.1	0.35	7.1534e-08
0.1	0.4	7.167e-08
0.1	0.45	7.1792e-08
0.1	0.5	7.1904e-08
0.15	0.0	7.9607e-11
0.15	0.05	3.2642e-07
0.15	0.1	3.8833e-07
0.15	0.15	3.9929e-07
0.15	0.2	4.0201e-07
0.15	0.25	4.0331e-07
0.15	0.3	4.0426e-07
0.15	0.35	4.0506e-07
0.15	0.4	4.0576e-07
0.15	0.45	4.0639e-07
0.15	0.5	4.0695e-07
0.2	0.0	2.8886e-10
0.2	0.05	1.178e-06
0.2	0.1	1.4886e-06
0.2	0.15	1.5492e-06
0.2	0.2	1.563e-06
0.2	0.25	1.5684e-06
0.2	0.3	1.5719e-06
0.2	0.35	1.5748e-06
0.2	0.4	1.5772e-06
0.2	0.45	1.5793e-06
0.2	0.5	1.5811e-06
0.25	0.0	6.4797e-10
0.25	0.05	2.633e-06
0.25	0.1	3.6178e-06
0.25	0.15	3.8557e-06
0.25	0.2	3.9073e-06
0.25	0.25	3.9237e-06
0.25	0.3	3.9326e-06
0.25	0.35	3.9392e-06
0.25	0.4	3.9446e-06
0.25	0.45	3.9492e-06
0.25	0.5	3.9533e-06
0.3	0.0	1.1225e-09
0.3	0.05	4.3571e-06
0.3	0.1	6.4919e-06
0.3	0.15	7.1552e-06
0.3	0.2	7.3051e-06
0.3	0.25	7.3466e-06
0.3	0.3	7.3648e-06
0.3	0.35	7.3768e-06
0.3	0.4	7.3861e-06
0.3	0.45	7.394e-06
0.3	0.5	7.4007e-06
0.35	0.0	1.6677e-09
0.35	0.05	6.0875e-06
0.35	0.1	9.7288e-06
0.35	0.15	1.1162e-05
0.35	0.2	1.1532e-05
0.35	0.25	1.1634e-05
0.35	0.3	1.167e-05
0.35	0.35	1.1689e-05
0.35	0.4	1.1703e-05
0.35	0.45	1.1715e-05
0.35	0.5	1.1725e-05
0.4	0.0	2.2422e-09
0.4	0.05	7.6711e-06
0.4	0.1	1.2978e-05
0.4	0.15	1.5544e-05
0.4	0.2	1.6395e-05
0.4	0.25	1.6614e-05
0.4	0.3	1.6683e-05
0.4	0.35	1.6715e-05
0.4	0.4	1.6737e-05
0.4	0.45	1.6753e-05
0.4	0.5	1.6766e-05
0.45	0.0	2.8127e-09
0.45	0.05	9.0474e-06
0.45	0.1	1.5984e-05
0.45	0.15	2.0025e-05
0.45	0.2	2.1639e-05
0.45	0.25	2.2134e-05
0.45	0.3	2.2283e-05
0.45	0.35	2.2337e-05
0.45	0.4	2.2366e-05
0.45	0.45	2.2387e-05
0.45	0.5	2.2403e-05
0.5	0.0	3.3428e-09
0.5	0.05	1.0217e-05
0.5	0.1	1.8611e-05
0.5	0.15	2.4161e-05
0.5	0.2	2.7034e-05
0.5	0.25	2.8036e-05
0.5	0.3	2.8347e-05
0.5	0.35	2.8449e-05
0.5	0.4	2.8494e-05
0.5	0.45	2.8522e-05
0.5	0.5	2.8545e-05
