vg	vd	ids
0.0	0.0	4.0067e-12
0.0	0.05	1.2167e-09
0.0	0.1	1.4034e-09
0.0	0.15	1.4347e-09
0.0	0.2	1.4428e-09
0.0	0.25	1.4471e-09
0.0	0.3	1.4505e-09
0.0	0.35	1.4536e-09
0.0	0.4	1.4565e-09
0.0	0.45	1.4591e-09
0.0	0.5	1.4615e-09
0.05	0.0	2.8573e-11
0.05	0.05	8.1351e-09
0.05	0.1	9.4018e-09
0.05	0.15	9.6174e-09
0.05	0.2	9.6739e-09
0.05	0.25	9.7042e-09
0.05	0.3	9.7283e-09
0.05	0.35	9.7497e-09
0.05	0.4	9.7691e-09
0.05	0.45	9.787e-09
0.05	0.5	9.8035e-09
0.1	0.0	1.864e-10
0.1	0.05	5.2752e-08
0.1	0.1	6.1245e-08
0.1	0.15	6.2715e-08
0.1	0.2	6.3103e-08
0.1	0.25	6.3308e-08
0.1	0.3	6.3468e-08
0.1	0.35	6.3608e-08
0.1	0.4	6.3734e-08
0.1	0.45	6.3848e-08
0.1	0.5	6.3953e-08
0.15	0.0	9.4978e-10
0.15	0.05	2.9519e-07
0.15	0.1	3.4984e-07
0.15	0.15	3.5952e-07
0.15	0.2	3.6196e-07
0.15	0.25	3.6314e-07
0.15	0.3	3.6402e-07
0.15	0.35	3.6476e-07
0.15	0.4	3.6542e-07
0.15	0.45	3.6601e-07
0.15	0.5	3.6654e-07
0.2	0.0	2.8819e-09
0.2	0.05	1.0972e-06
0.2	0.1	1.3777e-06
0.2	0.15	1.4316e-06
0.2	0.2	1.444e-06
0.2	0.25	1.4489e-06
0.2	0.3	1.4522e-06
0.2	0.35	1.4548e-06
0.2	0.4	1.4571e-06
0.2	0.45	1.4591e-06
0.2	0.5	1.4609e-06
0.25	0.0	5.4302e-09
0.25	0.05	2.5123e-06
0.25	0.1	3.4253e-06
0.25	0.15	3.6365e-06
0.25	0.2	3.6835e-06
0.25	0.25	3.6988e-06
0.25	0.3	3.7073e-06
0.25	0.35	3.7136e-06
0.25	0.4	3.7188e-06
0.25	0.45	3.7233e-06
0.25	0.5	3.7273e-06
0.3	0.0	7.9185e-09
0.3	0.05	4.222e-06
0.3	0.1	6.2379e-06
0.3	0.15	6.8312e-06
0.3	0.2	6.9674e-06
0.3	0.25	7.0058e-06
0.3	0.3	7.0232e-06
0.3	0.35	7.0347e-06
0.3	0.4	7.0439e-06
0.3	0.45	7.0516e-06
0.3	0.5	7.0583e-06
0.35	0.0	1.0122e-08
0.35	0.05	5.973e-06
0.35	0.1	9.4552e-06
0.35	0.15	1.0745e-05
0.35	0.2	1.108e-05
0.35	0.25	1.1173e-05
0.35	0.3	1.1206e-05
0.35	0.35	1.1225e-05
0.35	0.4	1.1238e-05
0.35	0.45	1.125e-05
0.35	0.5	1.1259e-05
0.4	0.0	1.2016e-08
0.4	0.05	7.6141e-06
0.4	0.1	1.2752e-05
0.4	0.15	1.508e-05
0.4	0.2	1.584e-05
0.4	0.25	1.6034e-05
0.4	0.3	1.6097e-05
0.4	0.35	1.6127e-05
0.4	0.4	1.6148e-05
0.4	0.45	1.6164e-05
0.4	0.5	1.6177e-05
0.45	0.0	1.3635e-08
0.45	0.05	9.033e-06
0.45	0.1	1.587e-05
0.45	0.15	1.959e-05
0.45	0.2	2.1046e-05
0.45	0.25	2.1455e-05
0.45	0.3	2.1583e-05
0.45	0.35	2.1633e-05
0.45	0.4	2.1661e-05
0.45	0.45	2.1681e-05
0.45	0.5	2.1697e-05
0.5	0.0	1.5034e-08
0.5	0.05	1.0283e-05
0.5	0.1	1.866e-05
0.5	0.15	2.3967e-05
0.5	0.2	2.6442e-05
0.5	0.25	2.731e-05
0.5	0.3	2.7559e-05
0.5	0.35	2.7646e-05
0.5	0.4	2.7688e-05
0.5	0.45	2.7714e-05
0.5	0.5	2.7737e-05
