vg	vd	ids
0.0	0.0	2.7446e-12
0.0	0.05	6.3457e-10
0.0	0.1	7.3044e-10
0.0	0.15	7.4568e-10
0.0	0.2	7.4897e-10
0.0	0.25	7.5042e-10
0.0	0.3	7.5149e-10
0.0	0.35	7.5242e-10
0.0	0.4	7.5326e-10
0.0	0.45	7.5404e-10
0.0	0.5	7.5475e-10
0.05	0.0	1.7278e-11
0.05	0.05	4.2862e-09
0.05	0.1	4.9437e-09
0.05	0.15	5.0494e-09
0.05	0.2	5.073e-09
0.05	0.25	5.0836e-09
0.05	0.3	5.0914e-09
0.05	0.35	5.0982e-09
0.05	0.4	5.1043e-09
0.05	0.45	5.1098e-09
0.05	0.5	5.1149e-09
0.1	0.0	1.1242e-10
0.1	0.05	2.8375e-08
0.1	0.1	3.2831e-08
0.1	0.15	3.3563e-08
0.1	0.2	3.3731e-08
0.1	0.25	3.3807e-08
0.1	0.3	3.3864e-08
0.1	0.35	3.3912e-08
0.1	0.4	3.3954e-08
0.1	0.45	3.3993e-08
0.1	0.5	3.4028e-08
0.15	0.0	6.4848e-10
0.15	0.05	1.7049e-07
0.15	0.1	2.0004e-07
0.15	0.15	2.0503e-07
0.15	0.2	2.0618e-07
0.15	0.25	2.0669e-07
0.15	0.3	2.0705e-07
0.15	0.35	2.0735e-07
0.15	0.4	2.0762e-07
0.15	0.45	2.0785e-07
0.15	0.5	2.0806e-07
0.2	0.0	2.4839e-09
0.2	0.05	7.3493e-07
0.2	0.1	9.0497e-07
0.2	0.15	9.3615e-07
0.2	0.2	9.4296e-07
0.2	0.25	9.4556e-07
0.2	0.3	9.4725e-07
0.2	0.35	9.4859e-07
0.2	0.4	9.4973e-07
0.2	0.45	9.5073e-07
0.2	0.5	9.5161e-07
0.25	0.0	5.7314e-09
0.25	0.05	1.8918e-06
0.25	0.1	2.5434e-06
0.25	0.15	2.6888e-06
0.25	0.2	2.7201e-06
0.25	0.25	2.7298e-06
0.25	0.3	2.7349e-06
0.25	0.35	2.7387e-06
0.25	0.4	2.7418e-06
0.25	0.45	2.7445e-06
0.25	0.5	2.7468e-06
0.3	0.0	9.5985e-09
0.3	0.05	3.3351e-06
0.3	0.1	4.9273e-06
0.3	0.15	5.401e-06
0.3	0.2	5.508e-06
0.3	0.25	5.5365e-06
0.3	0.3	5.5485e-06
0.3	0.35	5.5562e-06
0.3	0.4	5.5621e-06
0.3	0.45	5.5676e-06
0.3	0.5	5.5719e-06
0.35	0.0	1.3421e-08
0.35	0.05	4.7685e-06
0.35	0.1	7.6375e-06
0.35	0.15	8.7642e-06
0.35	0.2	9.0698e-06
0.35	0.25	9.1454e-06
0.35	0.3	9.1709e-06
0.35	0.35	9.1843e-06
0.35	0.4	9.1938e-06
0.35	0.45	9.2014e-06
0.35	0.5	9.2078e-06
0.4	0.0	1.6836e-08
0.4	0.05	6.0462e-06
0.4	0.1	1.031e-05
0.4	0.15	1.2417e-05
0.4	0.2	1.3169e-05
0.4	0.25	1.3362e-05
0.4	0.3	1.3422e-05
0.4	0.35	1.3445e-05
0.4	0.4	1.346e-05
0.4	0.45	1.3471e-05
0.4	0.5	1.3479e-05
0.45	0.0	1.9713e-08
0.45	0.05	7.1147e-06
0.45	0.1	1.2693e-05
0.45	0.15	1.6058e-05
0.45	0.2	1.7564e-05
0.45	0.25	1.8027e-05
0.45	0.3	1.8156e-05
0.45	0.35	1.8201e-05
0.45	0.4	1.8223e-05
0.45	0.45	1.8238e-05
0.45	0.5	1.8251e-05
0.5	0.0	2.2086e-08
0.5	0.05	7.9812e-06
0.5	0.1	1.4671e-05
0.5	0.15	1.9335e-05
0.5	0.2	2.1894e-05
0.5	0.25	2.2932e-05
0.5	0.3	2.3235e-05
0.5	0.35	2.3335e-05
0.5	0.4	2.3374e-05
0.5	0.45	2.3395e-05
0.5	0.5	2.3409e-05
