vg	vd	ids
0.0	0.0	3.2168e-11
0.0	0.05	6.8139e-09
0.0	0.1	8.2723e-09
0.0	0.15	8.8159e-09
0.0	0.2	9.2075e-09
0.0	0.25	9.5696e-09
0.0	0.3	9.9183e-09
0.0	0.35	1.0248e-08
0.0	0.4	1.0552e-08
0.0	0.45	1.0839e-08
0.0	0.5	1.1115e-08
0.05	0.0	1.9453e-10
0.05	0.05	3.9585e-08
0.05	0.1	4.8201e-08
0.05	0.15	5.1403e-08
0.05	0.2	5.3667e-08
0.05	0.25	5.5643e-08
0.05	0.3	5.7425e-08
0.05	0.35	5.9101e-08
0.05	0.4	6.072e-08
0.05	0.45	6.2299e-08
0.05	0.5	6.3842e-08
0.1	0.0	9.9144e-10
0.1	0.05	2.0899e-07
0.1	0.1	2.5692e-07
0.1	0.15	2.7336e-07
0.1	0.2	2.8359e-07
0.1	0.25	2.9232e-07
0.1	0.3	3.0042e-07
0.1	0.35	3.0796e-07
0.1	0.4	3.1492e-07
0.1	0.45	3.2137e-07
0.1	0.5	3.2747e-07
0.15	0.0	3.5825e-09
0.15	0.05	8.4977e-07
0.15	0.1	1.0698e-06
0.15	0.15	1.1338e-06
0.15	0.2	1.1666e-06
0.15	0.25	1.1915e-06
0.15	0.3	1.2136e-06
0.15	0.35	1.2337e-06
0.15	0.4	1.2523e-06
0.15	0.45	1.2696e-06
0.15	0.5	1.2856e-06
0.2	0.0	8.4225e-09
0.2	0.05	2.311e-06
0.2	0.1	3.0407e-06
0.2	0.15	3.2341e-06
0.2	0.2	3.3047e-06
0.2	0.25	3.3495e-06
0.2	0.3	3.3861e-06
0.2	0.35	3.4187e-06
0.2	0.4	3.4483e-06
0.2	0.45	3.4756e-06
0.2	0.5	3.501e-06
0.25	0.0	1.4515e-08
0.25	0.05	4.4624e-06
0.25	0.1	6.2445e-06
0.25	0.15	6.7123e-06
0.25	0.2	6.8473e-06
0.25	0.25	6.9133e-06
0.25	0.3	6.9613e-06
0.25	0.35	7.0021e-06
0.25	0.4	7.0385e-06
0.25	0.45	7.0747e-06
0.25	0.5	7.1055e-06
0.3	0.0	2.0889e-08
0.3	0.05	6.9481e-06
0.3	0.1	1.0352e-05
0.3	0.15	1.1362e-05
0.3	0.2	1.1634e-05
0.3	0.25	1.1734e-05
0.3	0.3	1.1794e-05
0.3	0.35	1.1842e-05
0.3	0.4	1.1883e-05
0.3	0.45	1.1924e-05
0.3	0.5	1.1958e-05
0.35	0.0	2.7011e-08
0.35	0.05	9.4554e-06
0.35	0.1	1.4975e-05
0.35	0.15	1.6952e-05
0.35	0.2	1.7467e-05
0.35	0.25	1.7638e-05
0.35	0.3	1.7718e-05
0.35	0.35	1.7774e-05
0.35	0.4	1.7821e-05
0.35	0.45	1.7861e-05
0.35	0.5	1.7898e-05
0.4	0.0	3.2628e-08
0.4	0.05	1.179e-05
0.4	0.1	1.9638e-05
0.4	0.15	2.3136e-05
0.4	0.2	2.4187e-05
0.4	0.25	2.4478e-05
0.4	0.3	2.4594e-05
0.4	0.35	2.4664e-05
0.4	0.4	2.4722e-05
0.4	0.45	2.4768e-05
0.4	0.5	2.4807e-05
0.45	0.0	3.7656e-08
0.45	0.05	1.3868e-05
0.45	0.1	2.4135e-05
0.45	0.15	2.9621e-05
0.45	0.2	3.1576e-05
0.45	0.25	3.2128e-05
0.45	0.3	3.2325e-05
0.45	0.35	3.2419e-05
0.45	0.4	3.2483e-05
0.45	0.45	3.2533e-05
0.45	0.5	3.2576e-05
0.5	0.0	4.2135e-08
0.5	0.05	1.5678e-05
0.5	0.1	2.8173e-05
0.5	0.15	3.5896e-05
0.5	0.2	3.9328e-05
0.5	0.25	4.0424e-05
0.5	0.3	4.0778e-05
0.5	0.35	4.092e-05
0.5	0.4	4.1e-05
0.5	0.45	4.1059e-05
0.5	0.5	4.1108e-05
