vg	vd	ids
0.0	0.0	5.3059e-12
0.0	0.05	6.7533e-10
0.0	0.1	7.7783e-10
0.0	0.15	7.9472e-10
0.0	0.2	7.9883e-10
0.0	0.25	8.0091e-10
0.0	0.3	8.0254e-10
0.0	0.35	8.0399e-10
0.0	0.4	8.053e-10
0.0	0.45	8.0651e-10
0.0	0.5	8.0763e-10
0.05	0.0	1.5859e-11
0.05	0.05	4.5478e-09
0.05	0.1	5.2505e-09
0.05	0.15	5.3673e-09
0.05	0.2	5.3964e-09
0.05	0.25	5.4112e-09
0.05	0.3	5.4228e-09
0.05	0.35	5.433e-09
0.05	0.4	5.4422e-09
0.05	0.45	5.4506e-09
0.05	0.5	5.4583e-09
0.1	0.0	1.0391e-10
0.1	0.05	2.999e-08
0.1	0.1	3.4738e-08
0.1	0.15	3.5541e-08
0.1	0.2	3.5744e-08
0.1	0.25	3.5847e-08
0.1	0.3	3.5926e-08
0.1	0.35	3.5994e-08
0.1	0.4	3.6056e-08
0.1	0.45	3.6111e-08
0.1	0.5	3.6161e-08
0.15	0.0	6.0126e-10
0.15	0.05	1.7896e-07
0.15	0.1	2.1025e-07
0.15	0.15	2.1565e-07
0.15	0.2	2.1697e-07
0.15	0.25	2.176e-07
0.15	0.3	2.1807e-07
0.15	0.35	2.1846e-07
0.15	0.4	2.1881e-07
0.15	0.45	2.1911e-07
0.15	0.5	2.1939e-07
0.2	0.0	2.2651e-09
0.2	0.05	7.6291e-07
0.2	0.1	9.4094e-07
0.2	0.15	9.7392e-07
0.2	0.2	9.8128e-07
0.2	0.25	9.8419e-07
0.2	0.3	9.8611e-07
0.2	0.35	9.8765e-07
0.2	0.4	9.8897e-07
0.2	0.45	9.9012e-07
0.2	0.5	9.9114e-07
0.25	0.0	5.0899e-09
0.25	0.05	1.944e-06
0.25	0.1	2.6181e-06
0.25	0.15	2.7693e-06
0.25	0.2	2.8021e-06
0.25	0.25	2.8123e-06
0.25	0.3	2.8178e-06
0.25	0.35	2.8219e-06
0.25	0.4	2.8252e-06
0.25	0.45	2.8281e-06
0.25	0.5	2.8305e-06
0.3	0.0	8.345e-09
0.3	0.05	3.4029e-06
0.3	0.1	5.037e-06
0.3	0.15	5.5246e-06
0.3	0.2	5.6351e-06
0.3	0.25	5.6647e-06
0.3	0.3	5.6772e-06
0.3	0.35	5.6852e-06
0.3	0.4	5.6914e-06
0.3	0.45	5.6972e-06
0.3	0.5	5.7016e-06
0.35	0.0	1.1533e-08
0.35	0.05	4.8388e-06
0.35	0.1	7.7659e-06
0.35	0.15	8.9195e-06
0.35	0.2	9.2326e-06
0.35	0.25	9.3103e-06
0.35	0.3	9.3367e-06
0.35	0.35	9.3506e-06
0.35	0.4	9.3604e-06
0.35	0.45	9.3682e-06
0.35	0.5	9.3748e-06
0.4	0.0	1.442e-08
0.4	0.05	6.1076e-06
0.4	0.1	1.0434e-05
0.4	0.15	1.2583e-05
0.4	0.2	1.3349e-05
0.4	0.25	1.3546e-05
0.4	0.3	1.3607e-05
0.4	0.35	1.3632e-05
0.4	0.4	1.3647e-05
0.4	0.45	1.3658e-05
0.4	0.5	1.3667e-05
0.45	0.0	1.6933e-08
0.45	0.05	7.1253e-06
0.45	0.1	1.2795e-05
0.45	0.15	1.6209e-05
0.45	0.2	1.7738e-05
0.45	0.25	1.8209e-05
0.45	0.3	1.834e-05
0.45	0.35	1.8386e-05
0.45	0.4	1.8409e-05
0.45	0.45	1.8424e-05
0.45	0.5	1.8437e-05
0.5	0.0	1.9099e-08
0.5	0.05	7.9704e-06
0.5	0.1	1.475e-05
0.5	0.15	1.9456e-05
0.5	0.2	2.2041e-05
0.5	0.25	2.3089e-05
0.5	0.3	2.3395e-05
0.5	0.35	2.3497e-05
0.5	0.4	2.3536e-05
0.5	0.45	2.3557e-05
0.5	0.5	2.3572e-05
