vg	vd	ids
0.0	0.0	1.2115e-12
0.0	0.05	1.4849e-09
0.0	0.1	1.721e-09
0.0	0.15	1.765e-09
0.0	0.2	1.7797e-09
0.0	0.25	1.7894e-09
0.0	0.3	1.7977e-09
0.0	0.35	1.8053e-09
0.0	0.4	1.8123e-09
0.0	0.45	1.8188e-09
0.0	0.5	1.8248e-09
0.05	0.0	2.9825e-12
0.05	0.05	9.8454e-09
0.05	0.1	1.1432e-08
0.05	0.15	1.1731e-08
0.05	0.2	1.1832e-08
0.05	0.25	1.1897e-08
0.05	0.3	1.1952e-08
0.05	0.35	1.2002e-08
0.05	0.4	1.2048e-08
0.05	0.45	1.209e-08
0.05	0.5	1.213e-08
0.1	0.0	1.4187e-11
0.1	0.05	6.291e-08
0.1	0.1	7.3438e-08
0.1	0.15	7.5429e-08
0.1	0.2	7.6078e-08
0.1	0.25	7.6485e-08
0.1	0.3	7.6823e-08
0.1	0.35	7.7123e-08
0.1	0.4	7.7395e-08
0.1	0.45	7.7644e-08
0.1	0.5	7.7874e-08
0.15	0.0	8.2812e-11
0.15	0.05	3.4159e-07
0.15	0.1	4.0766e-07
0.15	0.15	4.2004e-07
0.15	0.2	4.2361e-07
0.15	0.25	4.2559e-07
0.15	0.3	4.2713e-07
0.15	0.35	4.2848e-07
0.15	0.4	4.2967e-07
0.15	0.45	4.3075e-07
0.15	0.5	4.3174e-07
0.2	0.0	2.9755e-10
0.2	0.05	1.2186e-06
0.2	0.1	1.5424e-06
0.2	0.15	1.6067e-06
0.2	0.2	1.6222e-06
0.2	0.25	1.6288e-06
0.2	0.3	1.6334e-06
0.2	0.35	1.6371e-06
0.2	0.4	1.6403e-06
0.2	0.45	1.6432e-06
0.2	0.5	1.6457e-06
0.25	0.0	6.6353e-10
0.25	0.05	2.7071e-06
0.25	0.1	3.7211e-06
0.25	0.15	3.9664e-06
0.25	0.2	4.0205e-06
0.25	0.25	4.0384e-06
0.25	0.3	4.0484e-06
0.25	0.35	4.0559e-06
0.25	0.4	4.0622e-06
0.25	0.45	4.0676e-06
0.25	0.5	4.0723e-06
0.3	0.0	1.145e-09
0.3	0.05	4.4606e-06
0.3	0.1	6.6483e-06
0.3	0.15	7.3249e-06
0.3	0.2	7.4781e-06
0.3	0.25	7.5213e-06
0.3	0.3	7.5408e-06
0.3	0.35	7.5537e-06
0.3	0.4	7.564e-06
0.3	0.45	7.5726e-06
0.3	0.5	7.5801e-06
0.35	0.0	1.6953e-09
0.35	0.05	6.2107e-06
0.35	0.1	9.9315e-06
0.35	0.15	1.1389e-05
0.35	0.2	1.1765e-05
0.35	0.25	1.1869e-05
0.35	0.3	1.1905e-05
0.35	0.35	1.1926e-05
0.35	0.4	1.1941e-05
0.35	0.45	1.1953e-05
0.35	0.5	1.1964e-05
0.4	0.0	2.2732e-09
0.4	0.05	7.8038e-06
0.4	0.1	1.3213e-05
0.4	0.15	1.5824e-05
0.4	0.2	1.6683e-05
0.4	0.25	1.6904e-05
0.4	0.3	1.6975e-05
0.4	0.35	1.7008e-05
0.4	0.4	1.7031e-05
0.4	0.45	1.7048e-05
0.4	0.5	1.7062e-05
0.45	0.0	2.8456e-09
0.45	0.05	9.182e-06
0.45	0.1	1.6234e-05
0.45	0.15	2.0345e-05
0.45	0.2	2.198e-05
0.45	0.25	2.2486e-05
0.45	0.3	2.2628e-05
0.45	0.35	2.2682e-05
0.45	0.4	2.2712e-05
0.45	0.45	2.2734e-05
0.45	0.5	2.2751e-05
0.5	0.0	3.376e-09
0.5	0.05	1.0349e-05
0.5	0.1	1.8864e-05
0.5	0.15	2.4506e-05
0.5	0.2	2.7416e-05
0.5	0.25	2.8425e-05
0.5	0.3	2.8737e-05
0.5	0.35	2.884e-05
0.5	0.4	2.8887e-05
0.5	0.45	2.8916e-05
0.5	0.5	2.8939e-05
