vg	vd	ids
0.0	0.0	1.4104e-12
0.0	0.05	1.6114e-10
0.0	0.1	1.8481e-10
0.0	0.15	1.8841e-10
0.0	0.2	1.8908e-10
0.0	0.25	1.893e-10
0.0	0.3	1.8944e-10
0.0	0.35	1.8955e-10
0.0	0.4	1.8966e-10
0.0	0.45	1.8976e-10
0.0	0.5	1.8985e-10
0.05	0.0	9.701e-12
0.05	0.05	1.0971e-09
0.05	0.1	1.2614e-09
0.05	0.15	1.2865e-09
0.05	0.2	1.2912e-09
0.05	0.25	1.2929e-09
0.05	0.3	1.2939e-09
0.05	0.35	1.2948e-09
0.05	0.4	1.2956e-09
0.05	0.45	1.2964e-09
0.05	0.5	1.297e-09
0.1	0.0	6.5835e-11
0.1	0.05	7.4315e-09
0.1	0.1	8.5532e-09
0.1	0.15	8.728e-09
0.1	0.2	8.7622e-09
0.1	0.25	8.7747e-09
0.1	0.3	8.7831e-09
0.1	0.35	8.79e-09
0.1	0.4	8.796e-09
0.1	0.45	8.8014e-09
0.1	0.5	8.8063e-09
0.15	0.0	4.2028e-10
0.15	0.05	4.8336e-08
0.15	0.1	5.5951e-08
0.15	0.15	5.7164e-08
0.15	0.2	5.7411e-08
0.15	0.25	5.7504e-08
0.15	0.3	5.7567e-08
0.15	0.35	5.7618e-08
0.15	0.4	5.7662e-08
0.15	0.45	5.7701e-08
0.15	0.5	5.7735e-08
0.2	0.0	2.059e-09
0.2	0.05	2.6567e-07
0.2	0.1	3.1536e-07
0.2	0.15	3.2369e-07
0.2	0.2	3.254e-07
0.2	0.25	3.2603e-07
0.2	0.3	3.2643e-07
0.2	0.35	3.2674e-07
0.2	0.4	3.2701e-07
0.2	0.45	3.2725e-07
0.2	0.5	3.2745e-07
0.25	0.0	5.7741e-09
0.25	0.05	9.4066e-07
0.25	0.1	1.1991e-06
0.25	0.15	1.2498e-06
0.25	0.2	1.2601e-06
0.25	0.25	1.2633e-06
0.25	0.3	1.265e-06
0.25	0.35	1.2663e-06
0.25	0.4	1.2673e-06
0.25	0.45	1.2682e-06
0.25	0.5	1.269e-06
0.3	0.0	1.0043e-08
0.3	0.05	2.0165e-06
0.3	0.1	2.8539e-06
0.3	0.15	3.0781e-06
0.3	0.2	3.125e-06
0.3	0.25	3.1371e-06
0.3	0.3	3.1421e-06
0.3	0.35	3.1454e-06
0.3	0.4	3.1479e-06
0.3	0.45	3.15e-06
0.3	0.5	3.1518e-06
0.35	0.0	1.377e-08
0.35	0.05	3.154e-06
0.35	0.1	4.9278e-06
0.35	0.15	5.5836e-06
0.35	0.2	5.7543e-06
0.35	0.25	5.7943e-06
0.35	0.3	5.8072e-06
0.35	0.35	5.8138e-06
0.35	0.4	5.8184e-06
0.35	0.45	5.8221e-06
0.35	0.5	5.8252e-06
0.4	0.0	1.6857e-08
0.4	0.05	4.1635e-06
0.4	0.1	7.0193e-06
0.4	0.15	8.4155e-06
0.4	0.2	8.8842e-06
0.4	0.25	9.0049e-06
0.4	0.3	9.0408e-06
0.4	0.35	9.0541e-06
0.4	0.4	9.0617e-06
0.4	0.45	9.0673e-06
0.4	0.5	9.0717e-06
0.45	0.0	1.9401e-08
0.45	0.05	4.9877e-06
0.45	0.1	8.8671e-06
0.45	0.15	1.1168e-05
0.45	0.2	1.2255e-05
0.45	0.25	1.2584e-05
0.45	0.3	1.2674e-05
0.45	0.35	1.2702e-05
0.45	0.4	1.2716e-05
0.45	0.45	1.2725e-05
0.45	0.5	1.2731e-05
0.5	0.0	2.152e-08
0.5	0.05	5.6342e-06
0.5	0.1	1.0365e-05
0.5	0.15	1.3647e-05
0.5	0.2	1.5524e-05
0.5	0.25	1.6323e-05
0.5	0.3	1.6554e-05
0.5	0.35	1.6629e-05
0.5	0.4	1.6654e-05
0.5	0.45	1.6667e-05
0.5	0.5	1.6676e-05
