vg	vd	ids
0.0	0.0	3.1335e-11
0.0	0.05	3.8429e-09
0.0	0.1	4.5672e-09
0.0	0.15	4.7876e-09
0.0	0.2	4.9227e-09
0.0	0.25	5.0399e-09
0.0	0.3	5.1506e-09
0.0	0.35	5.2626e-09
0.0	0.4	5.3637e-09
0.0	0.45	5.4592e-09
0.0	0.5	5.5483e-09
0.05	0.0	1.911e-10
0.05	0.05	2.3665e-08
0.05	0.1	2.8195e-08
0.05	0.15	2.9565e-08
0.05	0.2	3.0404e-08
0.05	0.25	3.1123e-08
0.05	0.3	3.1783e-08
0.05	0.35	3.2387e-08
0.05	0.4	3.2941e-08
0.05	0.45	3.346e-08
0.05	0.5	3.3952e-08
0.1	0.0	1.0528e-09
0.1	0.05	1.357e-07
0.1	0.1	1.6287e-07
0.1	0.15	1.7078e-07
0.1	0.2	1.7522e-07
0.1	0.25	1.7876e-07
0.1	0.3	1.8194e-07
0.1	0.35	1.8489e-07
0.1	0.4	1.8767e-07
0.1	0.45	1.9029e-07
0.1	0.5	1.9276e-07
0.15	0.0	4.2375e-09
0.15	0.05	6.1713e-07
0.15	0.1	7.5949e-07
0.15	0.15	7.9588e-07
0.15	0.2	8.125e-07
0.15	0.25	8.2461e-07
0.15	0.3	8.3499e-07
0.15	0.35	8.4434e-07
0.15	0.4	8.5295e-07
0.15	0.45	8.6097e-07
0.15	0.5	8.6847e-07
0.2	0.0	1.0599e-08
0.2	0.05	1.8362e-06
0.2	0.1	2.3813e-06
0.2	0.15	2.5103e-06
0.2	0.2	2.5532e-06
0.2	0.25	2.5781e-06
0.2	0.3	2.5977e-06
0.2	0.35	2.6149e-06
0.2	0.4	2.6317e-06
0.2	0.45	2.6459e-06
0.2	0.5	2.6589e-06
0.25	0.0	1.8463e-08
0.25	0.05	3.7033e-06
0.25	0.1	5.1527e-06
0.25	0.15	5.5164e-06
0.25	0.2	5.6175e-06
0.25	0.25	5.659e-06
0.25	0.3	5.6868e-06
0.25	0.35	5.7098e-06
0.25	0.4	5.73e-06
0.25	0.45	5.7482e-06
0.25	0.5	5.7648e-06
0.3	0.0	2.6309e-08
0.3	0.05	5.8623e-06
0.3	0.1	8.725e-06
0.3	0.15	9.6207e-06
0.3	0.2	9.8366e-06
0.3	0.25	9.913e-06
0.3	0.3	9.9523e-06
0.3	0.35	9.9812e-06
0.3	0.4	1.0006e-05
0.3	0.45	1.0027e-05
0.3	0.5	1.0046e-05
0.35	0.0	3.3461e-08
0.35	0.05	8.024e-06
0.35	0.1	1.2737e-05
0.35	0.15	1.4541e-05
0.35	0.2	1.5016e-05
0.35	0.25	1.515e-05
0.35	0.3	1.5208e-05
0.35	0.35	1.5249e-05
0.35	0.4	1.5279e-05
0.35	0.45	1.5304e-05
0.35	0.5	1.5326e-05
0.4	0.0	3.9728e-08
0.4	0.05	1.0011e-05
0.4	0.1	1.6792e-05
0.4	0.15	1.9977e-05
0.4	0.2	2.0945e-05
0.4	0.25	2.1219e-05
0.4	0.3	2.1313e-05
0.4	0.35	2.1363e-05
0.4	0.4	2.14e-05
0.4	0.45	2.1429e-05
0.4	0.5	2.1455e-05
0.45	0.0	4.5152e-08
0.45	0.05	1.1752e-05
0.45	0.1	2.0584e-05
0.45	0.15	2.5519e-05
0.45	0.2	2.7415e-05
0.45	0.25	2.7963e-05
0.45	0.3	2.8133e-05
0.45	0.35	2.8207e-05
0.45	0.4	2.8254e-05
0.45	0.45	2.8292e-05
0.45	0.5	2.8323e-05
0.5	0.0	4.9836e-08
0.5	0.05	1.3245e-05
0.5	0.1	2.394e-05
0.5	0.15	3.0884e-05
0.5	0.2	3.414e-05
0.5	0.25	3.5221e-05
0.5	0.3	3.5551e-05
0.5	0.35	3.5679e-05
0.5	0.4	3.5744e-05
0.5	0.45	3.5787e-05
0.5	0.5	3.5822e-05
