vg	vd	ids
0.0	0.0	-7.4777e-13
0.0	0.05	6.2283e-10
0.0	0.1	7.2162e-10
0.0	0.15	7.4085e-10
0.0	0.2	7.4788e-10
0.0	0.25	7.5275e-10
0.0	0.3	7.5697e-10
0.0	0.35	7.6084e-10
0.0	0.4	7.6444e-10
0.0	0.45	7.6781e-10
0.0	0.5	7.7099e-10
0.05	0.0	-3.2744e-12
0.05	0.05	4.1194e-09
0.05	0.1	4.7914e-09
0.05	0.15	4.9219e-09
0.05	0.2	4.9696e-09
0.05	0.25	5.0023e-09
0.05	0.3	5.0305e-09
0.05	0.35	5.0563e-09
0.05	0.4	5.0801e-09
0.05	0.45	5.1024e-09
0.05	0.5	5.1233e-09
0.1	0.0	-1.7895e-11
0.1	0.05	2.6782e-08
0.1	0.1	3.1247e-08
0.1	0.15	3.2118e-08
0.1	0.2	3.2432e-08
0.1	0.25	3.2642e-08
0.1	0.3	3.2822e-08
0.1	0.35	3.2984e-08
0.1	0.4	3.3132e-08
0.1	0.45	3.327e-08
0.1	0.5	3.3398e-08
0.15	0.0	-8.582e-11
0.15	0.05	1.5884e-07
0.15	0.1	1.8761e-07
0.15	0.15	1.9315e-07
0.15	0.2	1.9496e-07
0.15	0.25	1.9609e-07
0.15	0.3	1.9702e-07
0.15	0.35	1.9784e-07
0.15	0.4	1.9859e-07
0.15	0.45	1.9927e-07
0.15	0.5	1.9989e-07
0.2	0.0	-2.0916e-10
0.2	0.05	6.9196e-07
0.2	0.1	8.532e-07
0.2	0.15	8.8409e-07
0.2	0.2	8.9224e-07
0.2	0.25	8.9627e-07
0.2	0.3	8.9928e-07
0.2	0.35	9.0185e-07
0.2	0.4	9.0413e-07
0.2	0.45	9.0619e-07
0.2	0.5	9.0806e-07
0.25	0.0	-6.5286e-11
0.25	0.05	1.8258e-06
0.25	0.1	2.4437e-06
0.25	0.15	2.5784e-06
0.25	0.2	2.6089e-06
0.25	0.25	2.6196e-06
0.25	0.3	2.6262e-06
0.25	0.35	2.6313e-06
0.25	0.4	2.6357e-06
0.25	0.45	2.6396e-06
0.25	0.5	2.643e-06
0.3	0.0	5.9944e-10
0.3	0.05	3.2715e-06
0.3	0.1	4.8022e-06
0.3	0.15	5.2282e-06
0.3	0.2	5.3265e-06
0.3	0.25	5.3544e-06
0.3	0.3	5.3674e-06
0.3	0.35	5.3762e-06
0.3	0.4	5.3834e-06
0.3	0.45	5.3901e-06
0.3	0.5	5.3955e-06
0.35	0.0	1.6355e-09
0.35	0.05	4.732e-06
0.35	0.1	7.522e-06
0.35	0.15	8.5375e-06
0.35	0.2	8.807e-06
0.35	0.25	8.8753e-06
0.35	0.3	8.9003e-06
0.35	0.35	8.9145e-06
0.35	0.4	8.925e-06
0.35	0.45	8.9337e-06
0.35	0.5	8.9411e-06
0.4	0.0	2.7737e-09
0.4	0.05	6.0641e-06
0.4	0.1	1.026e-05
0.4	0.15	1.221e-05
0.4	0.2	1.2831e-05
0.4	0.25	1.2998e-05
0.4	0.3	1.3048e-05
0.4	0.35	1.3071e-05
0.4	0.4	1.3086e-05
0.4	0.45	1.3098e-05
0.4	0.5	1.3108e-05
0.45	0.0	3.8038e-09
0.45	0.05	7.2102e-06
0.45	0.1	1.2745e-05
0.45	0.15	1.5899e-05
0.45	0.2	1.7198e-05
0.45	0.25	1.7574e-05
0.45	0.3	1.768e-05
0.45	0.35	1.7721e-05
0.45	0.4	1.7743e-05
0.45	0.45	1.7758e-05
0.45	0.5	1.7772e-05
0.5	0.0	4.6724e-09
0.5	0.05	8.1628e-06
0.5	0.1	1.4903e-05
0.5	0.15	1.9389e-05
0.5	0.2	2.1622e-05
0.5	0.25	2.2452e-05
0.5	0.3	2.2685e-05
0.5	0.35	2.2766e-05
0.5	0.4	2.2801e-05
0.5	0.45	2.2822e-05
0.5	0.5	2.2837e-05
