vg	vd	ids
0.0	0.0	3.2012e-13
0.0	0.05	1.6553e-11
0.0	0.1	1.8953e-11
0.0	0.15	1.9309e-11
0.0	0.2	1.937e-11
0.0	0.25	1.9387e-11
0.0	0.3	1.9397e-11
0.0	0.35	1.9405e-11
0.0	0.4	1.9413e-11
0.0	0.45	1.942e-11
0.0	0.5	1.9426e-11
0.05	0.0	2.0122e-12
0.05	0.05	1.1381e-10
0.05	0.1	1.3048e-10
0.05	0.15	1.3297e-10
0.05	0.2	1.334e-10
0.05	0.25	1.3353e-10
0.05	0.3	1.336e-10
0.05	0.35	1.3367e-10
0.05	0.4	1.3372e-10
0.05	0.45	1.3378e-10
0.05	0.5	1.3382e-10
0.1	0.0	1.3865e-11
0.1	0.05	7.8481e-10
0.1	0.1	8.9967e-10
0.1	0.15	9.1698e-10
0.1	0.2	9.2007e-10
0.1	0.25	9.2102e-10
0.1	0.3	9.2161e-10
0.1	0.35	9.2209e-10
0.1	0.4	9.2252e-10
0.1	0.45	9.2291e-10
0.1	0.5	9.2327e-10
0.15	0.0	9.3906e-11
0.15	0.05	5.3404e-09
0.15	0.1	6.1336e-09
0.15	0.15	6.2538e-09
0.15	0.2	6.2759e-09
0.15	0.25	6.2831e-09
0.15	0.3	6.2876e-09
0.15	0.35	6.2913e-09
0.15	0.4	6.2945e-09
0.15	0.45	6.2975e-09
0.15	0.5	6.3001e-09
0.2	0.0	5.9883e-10
0.2	0.05	3.5e-08
0.2	0.1	4.0412e-08
0.2	0.15	4.1251e-08
0.2	0.2	4.1409e-08
0.2	0.25	4.1463e-08
0.2	0.3	4.1497e-08
0.2	0.35	4.1524e-08
0.2	0.4	4.1548e-08
0.2	0.45	4.1569e-08
0.2	0.5	4.1588e-08
0.25	0.0	3.0136e-09
0.25	0.05	1.9697e-07
0.25	0.1	2.3275e-07
0.25	0.15	2.386e-07
0.25	0.2	2.3973e-07
0.25	0.25	2.401e-07
0.25	0.3	2.4032e-07
0.25	0.35	2.4049e-07
0.25	0.4	2.4064e-07
0.25	0.45	2.4076e-07
0.25	0.5	2.4088e-07
0.3	0.0	8.6976e-09
0.3	0.05	7.2161e-07
0.3	0.1	9.1828e-07
0.3	0.15	9.5625e-07
0.3	0.2	9.6355e-07
0.3	0.25	9.6556e-07
0.3	0.3	9.6656e-07
0.3	0.35	9.6728e-07
0.3	0.4	9.6788e-07
0.3	0.45	9.6838e-07
0.3	0.5	9.6883e-07
0.35	0.0	1.4843e-08
0.35	0.05	1.5484e-06
0.35	0.1	2.2264e-06
0.35	0.15	2.4118e-06
0.35	0.2	2.4523e-06
0.35	0.25	2.4623e-06
0.35	0.3	2.4657e-06
0.35	0.35	2.4676e-06
0.35	0.4	2.4691e-06
0.35	0.45	2.4703e-06
0.35	0.5	2.4713e-06
0.4	0.0	1.957e-08
0.4	0.05	2.3648e-06
0.4	0.1	3.8058e-06
0.4	0.15	4.3876e-06
0.4	0.2	4.5603e-06
0.4	0.25	4.5996e-06
0.4	0.3	4.6106e-06
0.4	0.35	4.6153e-06
0.4	0.4	4.6185e-06
0.4	0.45	4.6207e-06
0.4	0.5	4.6225e-06
0.45	0.0	2.2997e-08
0.45	0.05	3.0363e-06
0.45	0.1	5.2743e-06
0.45	0.15	6.5073e-06
0.45	0.2	7.0135e-06
0.45	0.25	7.1587e-06
0.45	0.3	7.1953e-06
0.45	0.35	7.207e-06
0.45	0.4	7.2129e-06
0.45	0.45	7.2166e-06
0.45	0.5	7.2193e-06
0.5	0.0	2.5475e-08
0.5	0.05	3.5368e-06
0.5	0.1	6.4394e-06
0.5	0.15	8.4046e-06
0.5	0.2	9.4784e-06
0.5	0.25	9.8957e-06
0.5	0.3	1.0019e-05
0.5	0.35	1.0054e-05
0.5	0.4	1.0066e-05
0.5	0.45	1.0072e-05
0.5	0.5	1.0076e-05
