vg	vd	ids
0.0	0.0	1.837e-12
0.0	0.05	1.7815e-09
0.0	0.1	2.0872e-09
0.0	0.15	2.161e-09
0.0	0.2	2.1971e-09
0.0	0.25	2.2254e-09
0.0	0.3	2.251e-09
0.0	0.35	2.2748e-09
0.0	0.4	2.2972e-09
0.0	0.45	2.3185e-09
0.0	0.5	2.3387e-09
0.05	0.0	8.2308e-12
0.05	0.05	1.147e-08
0.05	0.1	1.3471e-08
0.05	0.15	1.3954e-08
0.05	0.2	1.4189e-08
0.05	0.25	1.4374e-08
0.05	0.3	1.4539e-08
0.05	0.35	1.4693e-08
0.05	0.4	1.4836e-08
0.05	0.45	1.4969e-08
0.05	0.5	1.5092e-08
0.1	0.0	5.2184e-11
0.1	0.05	7.0689e-08
0.1	0.1	8.3484e-08
0.1	0.15	8.6493e-08
0.1	0.2	8.7917e-08
0.1	0.25	8.8996e-08
0.1	0.3	8.9936e-08
0.1	0.35	9.0782e-08
0.1	0.4	9.1553e-08
0.1	0.45	9.2265e-08
0.1	0.5	9.2928e-08
0.15	0.0	2.9648e-10
0.15	0.05	3.6711e-07
0.15	0.1	4.4281e-07
0.15	0.15	4.5961e-07
0.15	0.2	4.6621e-07
0.15	0.25	4.7071e-07
0.15	0.3	4.7451e-07
0.15	0.35	4.779e-07
0.15	0.4	4.8096e-07
0.15	0.45	4.8376e-07
0.15	0.5	4.8633e-07
0.2	0.0	1.0569e-09
0.2	0.05	1.2679e-06
0.2	0.1	1.6145e-06
0.2	0.15	1.6891e-06
0.2	0.2	1.711e-06
0.2	0.25	1.7225e-06
0.2	0.3	1.7313e-06
0.2	0.35	1.7388e-06
0.2	0.4	1.7455e-06
0.2	0.45	1.7516e-06
0.2	0.5	1.7571e-06
0.25	0.0	2.4034e-09
0.25	0.05	2.7822e-06
0.25	0.1	3.8323e-06
0.25	0.15	4.0924e-06
0.25	0.2	4.1544e-06
0.25	0.25	4.1779e-06
0.25	0.3	4.1927e-06
0.25	0.35	4.2044e-06
0.25	0.4	4.2145e-06
0.25	0.45	4.2234e-06
0.25	0.5	4.2314e-06
0.3	0.0	4.1301e-09
0.3	0.05	4.5591e-06
0.3	0.1	6.8011e-06
0.3	0.15	7.4895e-06
0.3	0.2	7.6575e-06
0.3	0.25	7.7064e-06
0.3	0.3	7.7302e-06
0.3	0.35	7.747e-06
0.3	0.4	7.7606e-06
0.3	0.45	7.7723e-06
0.3	0.5	7.7827e-06
0.35	0.0	5.9395e-09
0.35	0.05	6.3244e-06
0.35	0.1	1.0121e-05
0.35	0.15	1.1605e-05
0.35	0.2	1.1989e-05
0.35	0.25	1.2099e-05
0.35	0.3	1.2139e-05
0.35	0.35	1.2163e-05
0.35	0.4	1.2181e-05
0.35	0.45	1.2196e-05
0.35	0.5	1.2209e-05
0.4	0.0	7.6262e-09
0.4	0.05	7.9253e-06
0.4	0.1	1.3427e-05
0.4	0.15	1.6083e-05
0.4	0.2	1.6951e-05
0.4	0.25	1.7177e-05
0.4	0.3	1.7251e-05
0.4	0.35	1.7287e-05
0.4	0.4	1.7313e-05
0.4	0.45	1.7332e-05
0.4	0.5	1.7348e-05
0.45	0.0	9.1133e-09
0.45	0.05	9.306e-06
0.45	0.1	1.6461e-05
0.45	0.15	2.0635e-05
0.45	0.2	2.229e-05
0.45	0.25	2.2799e-05
0.45	0.3	2.2945e-05
0.45	0.35	2.3002e-05
0.45	0.4	2.3034e-05
0.45	0.45	2.3058e-05
0.45	0.5	2.3077e-05
0.5	0.0	1.039e-08
0.5	0.05	1.0473e-05
0.5	0.1	1.9094e-05
0.5	0.15	2.4817e-05
0.5	0.2	2.7762e-05
0.5	0.25	2.8793e-05
0.5	0.3	2.9094e-05
0.5	0.35	2.9198e-05
0.5	0.4	2.9246e-05
0.5	0.45	2.9277e-05
0.5	0.5	2.9303e-05
