vg	vd	ids
0.0	0.0	-1.8769e-11
0.0	0.05	1.7349e-08
0.0	0.1	2.2657e-08
0.0	0.15	2.5714e-08
0.0	0.2	2.8537e-08
0.0	0.25	3.1425e-08
0.0	0.3	3.419e-08
0.0	0.35	3.6815e-08
0.0	0.4	3.9498e-08
0.0	0.45	4.2281e-08
0.0	0.5	4.5169e-08
0.05	0.0	-7.7481e-11
0.05	0.05	8.2224e-08
0.05	0.1	1.0758e-07
0.05	0.15	1.2217e-07
0.05	0.2	1.3475e-07
0.05	0.25	1.4595e-07
0.05	0.3	1.5706e-07
0.05	0.35	1.6847e-07
0.05	0.4	1.802e-07
0.05	0.45	1.9201e-07
0.05	0.5	2.032e-07
0.1	0.0	-2.8752e-10
0.1	0.05	3.4397e-07
0.1	0.1	4.5418e-07
0.1	0.15	5.0875e-07
0.1	0.2	5.5034e-07
0.1	0.25	5.8988e-07
0.1	0.3	6.2771e-07
0.1	0.35	6.6216e-07
0.1	0.4	6.9486e-07
0.1	0.45	7.2724e-07
0.1	0.5	7.5963e-07
0.15	0.0	-7.8947e-10
0.15	0.05	1.1284e-06
0.15	0.1	1.5041e-06
0.15	0.15	1.6598e-06
0.15	0.2	1.7617e-06
0.15	0.25	1.8455e-06
0.15	0.3	1.9234e-06
0.15	0.35	1.998e-06
0.15	0.4	2.0679e-06
0.15	0.45	2.1325e-06
0.15	0.5	2.1928e-06
0.2	0.0	-1.5549e-09
0.2	0.05	2.7117e-06
0.2	0.1	3.6997e-06
0.2	0.15	4.0347e-06
0.2	0.2	4.2118e-06
0.2	0.25	4.3452e-06
0.2	0.3	4.459e-06
0.2	0.35	4.5625e-06
0.2	0.4	4.6599e-06
0.2	0.45	4.7529e-06
0.2	0.5	4.8415e-06
0.25	0.0	-2.3972e-09
0.25	0.05	5.0151e-06
0.25	0.1	7.0992e-06
0.25	0.15	7.7429e-06
0.25	0.2	8.0186e-06
0.25	0.25	8.1895e-06
0.25	0.3	8.3309e-06
0.25	0.35	8.4572e-06
0.25	0.4	8.5722e-06
0.25	0.45	8.678e-06
0.25	0.5	8.7768e-06
0.3	0.0	-3.1757e-09
0.3	0.05	7.7354e-06
0.3	0.1	1.1486e-05
0.3	0.15	1.2685e-05
0.3	0.2	1.3081e-05
0.3	0.25	1.3306e-05
0.3	0.3	1.3463e-05
0.3	0.35	1.3598e-05
0.3	0.4	1.372e-05
0.3	0.45	1.3835e-05
0.3	0.5	1.3942e-05
0.35	0.0	-3.8314e-09
0.35	0.05	1.056e-05
0.35	0.1	1.6532e-05
0.35	0.15	1.865e-05
0.35	0.2	1.9302e-05
0.35	0.25	1.9571e-05
0.35	0.3	1.9748e-05
0.35	0.35	1.9892e-05
0.35	0.4	2.0032e-05
0.35	0.45	2.0151e-05
0.35	0.5	2.026e-05
0.4	0.0	-4.3579e-09
0.4	0.05	1.3266e-05
0.4	0.1	2.1856e-05
0.4	0.15	2.5427e-05
0.4	0.2	2.6528e-05
0.4	0.25	2.6928e-05
0.4	0.3	2.7135e-05
0.4	0.35	2.7289e-05
0.4	0.4	2.742e-05
0.4	0.45	2.7538e-05
0.4	0.5	2.7646e-05
0.45	0.0	-4.7503e-09
0.45	0.05	1.5732e-05
0.45	0.1	2.7079e-05
0.45	0.15	3.2636e-05
0.45	0.2	3.4611e-05
0.45	0.25	3.5244e-05
0.45	0.3	3.5513e-05
0.45	0.35	3.5684e-05
0.45	0.4	3.5822e-05
0.45	0.45	3.5942e-05
0.45	0.5	3.6059e-05
0.5	0.0	-5.0845e-09
0.5	0.05	1.7802e-05
0.5	0.1	3.1924e-05
0.5	0.15	3.9969e-05
0.5	0.2	4.3309e-05
0.5	0.25	4.4395e-05
0.5	0.3	4.4793e-05
0.5	0.35	4.5003e-05
0.5	0.4	4.5153e-05
0.5	0.45	4.5288e-05
0.5	0.5	4.54e-05
