vg	vd	ids
0.0	0.0	1.5129e-13
0.0	0.05	1.8922e-11
0.0	0.1	2.171e-11
0.0	0.15	2.2124e-11
0.0	0.2	2.2195e-11
0.0	0.25	2.2215e-11
0.0	0.3	2.2227e-11
0.0	0.35	2.2237e-11
0.0	0.4	2.2246e-11
0.0	0.45	2.2254e-11
0.0	0.5	2.2262e-11
0.05	0.0	6.3136e-13
0.05	0.05	1.302e-10
0.05	0.1	1.495e-10
0.05	0.15	1.5239e-10
0.05	0.2	1.5289e-10
0.05	0.25	1.5304e-10
0.05	0.3	1.5313e-10
0.05	0.35	1.532e-10
0.05	0.4	1.5327e-10
0.05	0.45	1.5333e-10
0.05	0.5	1.5339e-10
0.1	0.0	4.1872e-12
0.1	0.05	8.978e-10
0.1	0.1	1.0307e-09
0.1	0.15	1.0509e-09
0.1	0.2	1.0545e-09
0.1	0.25	1.0556e-09
0.1	0.3	1.0563e-09
0.1	0.35	1.0568e-09
0.1	0.4	1.0573e-09
0.1	0.45	1.0578e-09
0.1	0.5	1.0582e-09
0.15	0.0	2.9191e-11
0.15	0.05	6.104e-09
0.15	0.1	7.0219e-09
0.15	0.15	7.1617e-09
0.15	0.2	7.1876e-09
0.15	0.25	7.1961e-09
0.15	0.3	7.2013e-09
0.15	0.35	7.2057e-09
0.15	0.4	7.2094e-09
0.15	0.45	7.2128e-09
0.15	0.5	7.2159e-09
0.2	0.0	1.9035e-10
0.2	0.05	3.9829e-08
0.2	0.1	4.6086e-08
0.2	0.15	4.7062e-08
0.2	0.2	4.7247e-08
0.2	0.25	4.731e-08
0.2	0.3	4.735e-08
0.2	0.35	4.7381e-08
0.2	0.4	4.7409e-08
0.2	0.45	4.7433e-08
0.2	0.5	4.7455e-08
0.25	0.0	9.606e-10
0.25	0.05	2.1981e-07
0.25	0.1	2.6098e-07
0.25	0.15	2.6778e-07
0.25	0.2	2.6909e-07
0.25	0.25	2.6951e-07
0.25	0.3	2.6976e-07
0.25	0.35	2.6996e-07
0.25	0.4	2.7012e-07
0.25	0.45	2.7027e-07
0.25	0.5	2.7039e-07
0.3	0.0	2.7606e-09
0.3	0.05	7.7384e-07
0.3	0.1	9.9446e-07
0.3	0.15	1.0381e-06
0.3	0.2	1.0465e-06
0.3	0.25	1.0488e-06
0.3	0.3	1.0499e-06
0.3	0.35	1.0507e-06
0.3	0.4	1.0513e-06
0.3	0.45	1.0518e-06
0.3	0.5	1.0523e-06
0.35	0.0	4.8106e-09
0.35	0.05	1.6036e-06
0.35	0.1	2.3348e-06
0.35	0.15	2.5423e-06
0.35	0.2	2.588e-06
0.35	0.25	2.5993e-06
0.35	0.3	2.603e-06
0.35	0.35	2.6051e-06
0.35	0.4	2.6066e-06
0.35	0.45	2.6079e-06
0.35	0.5	2.6089e-06
0.4	0.0	6.5639e-09
0.4	0.05	2.4058e-06
0.4	0.1	3.9122e-06
0.4	0.15	4.5401e-06
0.4	0.2	4.7308e-06
0.4	0.25	4.7749e-06
0.4	0.3	4.787e-06
0.4	0.35	4.7924e-06
0.4	0.4	4.7955e-06
0.4	0.45	4.7977e-06
0.4	0.5	4.7995e-06
0.45	0.0	7.9603e-09
0.45	0.05	3.0598e-06
0.45	0.1	5.3445e-06
0.45	0.15	6.6494e-06
0.45	0.2	7.1962e-06
0.45	0.25	7.3565e-06
0.45	0.3	7.3974e-06
0.45	0.35	7.4104e-06
0.45	0.4	7.4167e-06
0.45	0.45	7.4204e-06
0.45	0.5	7.4232e-06
0.5	0.0	9.0289e-09
0.5	0.05	3.5449e-06
0.5	0.1	6.473e-06
0.5	0.15	8.5077e-06
0.5	0.2	9.641e-06
0.5	0.25	1.0095e-05
0.5	0.3	1.0232e-05
0.5	0.35	1.0271e-05
0.5	0.4	1.0284e-05
0.5	0.45	1.0291e-05
0.5	0.5	1.0295e-05
