vg	vd	ids
0.0	0.0	1.2291e-11
0.0	0.05	4.3547e-09
0.0	0.1	5.1122e-09
0.0	0.15	5.2968e-09
0.0	0.2	5.3896e-09
0.0	0.25	5.4641e-09
0.0	0.3	5.5317e-09
0.0	0.35	5.5947e-09
0.0	0.4	5.6538e-09
0.0	0.45	5.7095e-09
0.0	0.5	5.7621e-09
0.05	0.0	7.6076e-11
0.05	0.05	2.7815e-08
0.05	0.1	3.2747e-08
0.05	0.15	3.3941e-08
0.05	0.2	3.4526e-08
0.05	0.25	3.4984e-08
0.05	0.3	3.5393e-08
0.05	0.35	3.5771e-08
0.05	0.4	3.6124e-08
0.05	0.45	3.6456e-08
0.05	0.5	3.677e-08
0.1	0.0	4.2815e-10
0.1	0.05	1.6465e-07
0.1	0.1	1.9567e-07
0.1	0.15	2.0287e-07
0.1	0.2	2.0609e-07
0.1	0.25	2.0848e-07
0.1	0.3	2.1056e-07
0.1	0.35	2.1246e-07
0.1	0.4	2.1422e-07
0.1	0.45	2.1585e-07
0.1	0.5	2.1738e-07
0.15	0.0	1.7047e-09
0.15	0.05	7.5111e-07
0.15	0.1	9.2064e-07
0.15	0.15	9.5717e-07
0.15	0.2	9.7011e-07
0.15	0.25	9.7836e-07
0.15	0.3	9.8516e-07
0.15	0.35	9.9119e-07
0.15	0.4	9.9668e-07
0.15	0.45	1.0017e-06
0.15	0.5	1.0064e-06
0.2	0.0	4.1689e-09
0.2	0.05	2.1729e-06
0.2	0.1	2.8232e-06
0.2	0.15	2.9678e-06
0.2	0.2	3.0063e-06
0.2	0.25	3.025e-06
0.2	0.3	3.0387e-06
0.2	0.35	3.0502e-06
0.2	0.4	3.0605e-06
0.2	0.45	3.0697e-06
0.2	0.5	3.0782e-06
0.25	0.0	7.2699e-09
0.25	0.05	4.2831e-06
0.25	0.1	5.9675e-06
0.25	0.15	6.3797e-06
0.25	0.2	6.4783e-06
0.25	0.25	6.5156e-06
0.25	0.3	6.5386e-06
0.25	0.35	6.5566e-06
0.25	0.4	6.572e-06
0.25	0.45	6.5869e-06
0.25	0.5	6.5992e-06
0.3	0.0	1.057e-08
0.3	0.05	6.7123e-06
0.3	0.1	9.9955e-06
0.3	0.15	1.0952e-05
0.3	0.2	1.1187e-05
0.3	0.25	1.1259e-05
0.3	0.3	1.1296e-05
0.3	0.35	1.1322e-05
0.3	0.4	1.1344e-05
0.3	0.45	1.1364e-05
0.3	0.5	1.1381e-05
0.35	0.0	1.3851e-08
0.35	0.05	9.1697e-06
0.35	0.1	1.452e-05
0.35	0.15	1.6441e-05
0.35	0.2	1.6925e-05
0.35	0.25	1.7068e-05
0.35	0.3	1.7127e-05
0.35	0.35	1.7164e-05
0.35	0.4	1.7193e-05
0.35	0.45	1.7217e-05
0.35	0.5	1.7238e-05
0.4	0.0	1.6963e-08
0.4	0.05	1.147e-05
0.4	0.1	1.909e-05
0.4	0.15	2.251e-05
0.4	0.2	2.3531e-05
0.4	0.25	2.38e-05
0.4	0.3	2.3896e-05
0.4	0.35	2.3949e-05
0.4	0.4	2.399e-05
0.4	0.45	2.4021e-05
0.4	0.5	2.4047e-05
0.45	0.0	1.9821e-08
0.45	0.05	1.3528e-05
0.45	0.1	2.3518e-05
0.45	0.15	2.8886e-05
0.45	0.2	3.0798e-05
0.45	0.25	3.1328e-05
0.45	0.3	3.1506e-05
0.45	0.35	3.1584e-05
0.45	0.4	3.1633e-05
0.45	0.45	3.1671e-05
0.45	0.5	3.1702e-05
0.5	0.0	2.2402e-08
0.5	0.05	1.5329e-05
0.5	0.1	2.7532e-05
0.5	0.15	3.5063e-05
0.5	0.2	3.8423e-05
0.5	0.25	3.9494e-05
0.5	0.3	3.9831e-05
0.5	0.35	3.9957e-05
0.5	0.4	4.0024e-05
0.5	0.45	4.007e-05
0.5	0.5	4.0108e-05
