vg	vd	ids
0.0	0.0	4.2171e-11
0.0	0.05	8.5432e-09
0.0	0.1	1.0456e-08
0.0	0.15	1.1225e-08
0.0	0.2	1.1806e-08
0.0	0.25	1.2346e-08
0.0	0.3	1.2853e-08
0.0	0.35	1.3327e-08
0.0	0.4	1.3784e-08
0.0	0.45	1.4235e-08
0.0	0.5	1.4682e-08
0.05	0.0	2.4193e-10
0.05	0.05	4.8532e-08
0.05	0.1	5.9668e-08
0.05	0.15	6.4081e-08
0.05	0.2	6.7238e-08
0.05	0.25	6.9982e-08
0.05	0.3	7.2567e-08
0.05	0.35	7.5083e-08
0.05	0.4	7.7545e-08
0.05	0.45	7.9928e-08
0.05	0.5	8.2186e-08
0.1	0.0	1.1805e-09
0.1	0.05	2.4919e-07
0.1	0.1	3.0939e-07
0.1	0.15	3.3079e-07
0.1	0.2	3.4474e-07
0.1	0.25	3.5677e-07
0.1	0.3	3.6769e-07
0.1	0.35	3.7777e-07
0.1	0.4	3.8735e-07
0.1	0.45	3.9657e-07
0.1	0.5	4.0551e-07
0.15	0.0	4.1239e-09
0.15	0.05	9.7877e-07
0.15	0.1	1.2428e-06
0.15	0.15	1.322e-06
0.15	0.2	1.3636e-06
0.15	0.25	1.3959e-06
0.15	0.3	1.4244e-06
0.15	0.35	1.4502e-06
0.15	0.4	1.4742e-06
0.15	0.45	1.4969e-06
0.15	0.5	1.5184e-06
0.2	0.0	9.5789e-09
0.2	0.05	2.5968e-06
0.2	0.1	3.4345e-06
0.2	0.15	3.654e-06
0.2	0.2	3.7435e-06
0.2	0.25	3.7988e-06
0.2	0.3	3.8444e-06
0.2	0.35	3.885e-06
0.2	0.4	3.9223e-06
0.2	0.45	3.9568e-06
0.2	0.5	3.9893e-06
0.25	0.0	1.6539e-08
0.25	0.05	4.9701e-06
0.25	0.1	6.9498e-06
0.25	0.15	7.4596e-06
0.25	0.2	7.6214e-06
0.25	0.25	7.7e-06
0.25	0.3	7.7583e-06
0.25	0.35	7.8083e-06
0.25	0.4	7.8533e-06
0.25	0.45	7.8946e-06
0.25	0.5	7.933e-06
0.3	0.0	2.3966e-08
0.3	0.05	7.7218e-06
0.3	0.1	1.1429e-05
0.3	0.15	1.2545e-05
0.3	0.2	1.284e-05
0.3	0.25	1.2953e-05
0.3	0.3	1.3025e-05
0.3	0.35	1.3082e-05
0.3	0.4	1.3133e-05
0.3	0.45	1.3178e-05
0.3	0.5	1.322e-05
0.35	0.0	3.1244e-08
0.35	0.05	1.0532e-05
0.35	0.1	1.6536e-05
0.35	0.15	1.8663e-05
0.35	0.2	1.9223e-05
0.35	0.25	1.9402e-05
0.35	0.3	1.9494e-05
0.35	0.35	1.9567e-05
0.35	0.4	1.9624e-05
0.35	0.45	1.9673e-05
0.35	0.5	1.9718e-05
0.4	0.0	3.8021e-08
0.4	0.05	1.3193e-05
0.4	0.1	2.1853e-05
0.4	0.15	2.5562e-05
0.4	0.2	2.663e-05
0.4	0.25	2.6949e-05
0.4	0.3	2.7079e-05
0.4	0.35	2.716e-05
0.4	0.4	2.7223e-05
0.4	0.45	2.7277e-05
0.4	0.5	2.7326e-05
0.45	0.0	4.4146e-08
0.45	0.05	1.5599e-05
0.45	0.1	2.7004e-05
0.45	0.15	3.2822e-05
0.45	0.2	3.487e-05
0.45	0.25	3.5459e-05
0.45	0.3	3.5662e-05
0.45	0.35	3.5768e-05
0.45	0.4	3.5843e-05
0.45	0.45	3.5904e-05
0.45	0.5	3.5961e-05
0.5	0.0	4.9606e-08
0.5	0.05	1.773e-05
0.5	0.1	3.1738e-05
0.5	0.15	4.0113e-05
0.5	0.2	4.3664e-05
0.5	0.25	4.4777e-05
0.5	0.3	4.5133e-05
0.5	0.35	4.5287e-05
0.5	0.4	4.538e-05
0.5	0.45	4.5455e-05
0.5	0.5	4.5515e-05
