vg	vd	ids
0.0	0.0	-2.1301e-15
0.0	0.05	1.2784e-11
0.0	0.1	1.4687e-11
0.0	0.15	1.4968e-11
0.0	0.2	1.5017e-11
0.0	0.25	1.5031e-11
0.0	0.3	1.5039e-11
0.0	0.35	1.5046e-11
0.0	0.4	1.5052e-11
0.0	0.45	1.5058e-11
0.0	0.5	1.5064e-11
0.05	0.0	-4.1413e-15
0.05	0.05	8.7568e-11
0.05	0.1	1.0068e-10
0.05	0.15	1.0265e-10
0.05	0.2	1.0299e-10
0.05	0.25	1.031e-10
0.05	0.3	1.0316e-10
0.05	0.35	1.0321e-10
0.05	0.4	1.0326e-10
0.05	0.45	1.033e-10
0.05	0.5	1.0334e-10
0.1	0.0	-1.8892e-13
0.1	0.05	6.0242e-10
0.1	0.1	6.923e-10
0.1	0.15	7.0596e-10
0.1	0.2	7.0842e-10
0.1	0.25	7.0918e-10
0.1	0.3	7.0966e-10
0.1	0.35	7.1006e-10
0.1	0.4	7.1042e-10
0.1	0.45	7.1074e-10
0.1	0.5	7.1104e-10
0.15	0.0	-1.4703e-12
0.15	0.05	4.0654e-09
0.15	0.1	4.6848e-09
0.15	0.15	4.7792e-09
0.15	0.2	4.7967e-09
0.15	0.25	4.8024e-09
0.15	0.3	4.806e-09
0.15	0.35	4.809e-09
0.15	0.4	4.8117e-09
0.15	0.45	4.8141e-09
0.15	0.5	4.8163e-09
0.2	0.0	-5.4827e-12
0.2	0.05	2.6828e-08
0.2	0.1	3.1039e-08
0.2	0.15	3.1695e-08
0.2	0.2	3.182e-08
0.2	0.25	3.1862e-08
0.2	0.3	3.1889e-08
0.2	0.35	3.1912e-08
0.2	0.4	3.1931e-08
0.2	0.45	3.1949e-08
0.2	0.5	3.1964e-08
0.25	0.0	-8.3723e-13
0.25	0.05	1.5592e-07
0.25	0.1	1.8381e-07
0.25	0.15	1.8837e-07
0.25	0.2	1.8925e-07
0.25	0.25	1.8955e-07
0.25	0.3	1.8973e-07
0.25	0.35	1.8987e-07
0.25	0.4	1.9e-07
0.25	0.45	1.901e-07
0.25	0.5	1.902e-07
0.3	0.0	7.4738e-11
0.3	0.05	6.1628e-07
0.3	0.1	7.749e-07
0.3	0.15	8.0465e-07
0.3	0.2	8.104e-07
0.3	0.25	8.1205e-07
0.3	0.3	8.1292e-07
0.3	0.35	8.1356e-07
0.3	0.4	8.141e-07
0.3	0.45	8.1456e-07
0.3	0.5	8.1497e-07
0.35	0.0	2.3341e-10
0.35	0.05	1.4198e-06
0.35	0.1	2.003e-06
0.35	0.15	2.1531e-06
0.35	0.2	2.1851e-06
0.35	0.25	2.1928e-06
0.35	0.3	2.1961e-06
0.35	0.35	2.1979e-06
0.35	0.4	2.1993e-06
0.35	0.45	2.2005e-06
0.35	0.5	2.2015e-06
0.4	0.0	4.2116e-10
0.4	0.05	2.2653e-06
0.4	0.1	3.5765e-06
0.4	0.15	4.0775e-06
0.4	0.2	4.2066e-06
0.4	0.25	4.2374e-06
0.4	0.3	4.2464e-06
0.4	0.35	4.2506e-06
0.4	0.4	4.2537e-06
0.4	0.45	4.2559e-06
0.4	0.5	4.2577e-06
0.45	0.0	6.0084e-10
0.45	0.05	2.9949e-06
0.45	0.1	5.121e-06
0.45	0.15	6.2343e-06
0.45	0.2	6.6254e-06
0.45	0.25	6.7367e-06
0.45	0.3	6.7651e-06
0.45	0.35	6.7748e-06
0.45	0.4	6.7798e-06
0.45	0.45	6.7833e-06
0.45	0.5	6.7863e-06
0.5	0.0	7.5192e-10
0.5	0.05	3.573e-06
0.5	0.1	6.4231e-06
0.5	0.15	8.2854e-06
0.5	0.2	9.161e-06
0.5	0.25	9.4793e-06
0.5	0.3	9.5686e-06
0.5	0.35	9.5962e-06
0.5	0.4	9.6064e-06
0.5	0.45	9.6119e-06
0.5	0.5	9.6158e-06
