vg	vd	ids
0.0	0.0	-1.7169e-11
0.0	0.05	5.2659e-09
0.0	0.1	6.2174e-09
0.0	0.15	6.4708e-09
0.0	0.2	6.6104e-09
0.0	0.25	6.7261e-09
0.0	0.3	6.8323e-09
0.0	0.35	6.9318e-09
0.0	0.4	7.0259e-09
0.0	0.45	7.1156e-09
0.0	0.5	7.2016e-09
0.05	0.0	-1.1042e-10
0.05	0.05	3.3042e-08
0.05	0.1	3.9255e-08
0.05	0.15	4.0865e-08
0.05	0.2	4.1721e-08
0.05	0.25	4.2412e-08
0.05	0.3	4.3039e-08
0.05	0.35	4.3624e-08
0.05	0.4	4.4175e-08
0.05	0.45	4.4696e-08
0.05	0.5	4.519e-08
0.1	0.0	-6.1562e-10
0.1	0.05	1.9178e-07
0.1	0.1	2.3012e-07
0.1	0.15	2.3952e-07
0.1	0.2	2.4405e-07
0.1	0.25	2.4752e-07
0.1	0.3	2.506e-07
0.1	0.35	2.5341e-07
0.1	0.4	2.5604e-07
0.1	0.45	2.585e-07
0.1	0.5	2.6082e-07
0.15	0.0	-2.3441e-09
0.15	0.05	8.5014e-07
0.15	0.1	1.0522e-06
0.15	0.15	1.097e-06
0.15	0.2	1.114e-06
0.15	0.25	1.1253e-06
0.15	0.3	1.1348e-06
0.15	0.35	1.1432e-06
0.15	0.4	1.151e-06
0.15	0.45	1.1582e-06
0.15	0.5	1.1649e-06
0.2	0.0	-5.483e-09
0.2	0.05	2.409e-06
0.2	0.1	3.1502e-06
0.2	0.15	3.3118e-06
0.2	0.2	3.3584e-06
0.2	0.25	3.3824e-06
0.2	0.3	3.4004e-06
0.2	0.35	3.4158e-06
0.2	0.4	3.4296e-06
0.2	0.45	3.4422e-06
0.2	0.5	3.4537e-06
0.25	0.0	-9.207e-09
0.25	0.05	4.7121e-06
0.25	0.1	6.5664e-06
0.25	0.15	7.0109e-06
0.25	0.2	7.1272e-06
0.25	0.25	7.1719e-06
0.25	0.3	7.2005e-06
0.25	0.35	7.2234e-06
0.25	0.4	7.2432e-06
0.25	0.45	7.2608e-06
0.25	0.5	7.2768e-06
0.3	0.0	-1.2947e-08
0.3	0.05	7.3783e-06
0.3	0.1	1.0953e-05
0.3	0.15	1.1966e-05
0.3	0.2	1.2215e-05
0.3	0.25	1.2296e-05
0.3	0.3	1.2339e-05
0.3	0.35	1.2371e-05
0.3	0.4	1.2398e-05
0.3	0.45	1.2421e-05
0.3	0.5	1.2442e-05
0.35	0.0	-1.6455e-08
0.35	0.05	1.0109e-05
0.35	0.1	1.5931e-05
0.35	0.15	1.7914e-05
0.35	0.2	1.8427e-05
0.35	0.25	1.8575e-05
0.35	0.3	1.8642e-05
0.35	0.35	1.8689e-05
0.35	0.4	1.8725e-05
0.35	0.45	1.8755e-05
0.35	0.5	1.8781e-05
0.4	0.0	-1.9619e-08
0.4	0.05	1.2707e-05
0.4	0.1	2.1049e-05
0.4	0.15	2.4606e-05
0.4	0.2	2.5617e-05
0.4	0.25	2.5902e-05
0.4	0.3	2.6007e-05
0.4	0.35	2.6067e-05
0.4	0.4	2.6112e-05
0.4	0.45	2.6148e-05
0.4	0.5	2.618e-05
0.45	0.0	-2.2403e-08
0.45	0.05	1.5069e-05
0.45	0.1	2.6076e-05
0.45	0.15	3.1647e-05
0.45	0.2	3.3599e-05
0.45	0.25	3.4145e-05
0.45	0.3	3.4323e-05
0.45	0.35	3.4409e-05
0.45	0.4	3.4466e-05
0.45	0.45	3.4511e-05
0.45	0.5	3.4551e-05
0.5	0.0	-2.4875e-08
0.5	0.05	1.7164e-05
0.5	0.1	3.0723e-05
0.5	0.15	3.8747e-05
0.5	0.2	4.2119e-05
0.5	0.25	4.316e-05
0.5	0.3	4.3483e-05
0.5	0.35	4.3615e-05
0.5	0.4	4.3691e-05
0.5	0.45	4.375e-05
0.5	0.5	4.3796e-05
