vg	vd	ids
0.0	0.0	2.0123e-12
0.0	0.05	2.282e-09
0.0	0.1	2.7268e-09
0.0	0.15	2.8681e-09
0.0	0.2	2.9541e-09
0.0	0.25	3.0277e-09
0.0	0.3	3.0969e-09
0.0	0.35	3.1636e-09
0.0	0.4	3.2281e-09
0.0	0.45	3.2908e-09
0.0	0.5	3.3516e-09
0.05	0.0	8.7611e-12
0.05	0.05	1.4023e-08
0.05	0.1	1.6791e-08
0.05	0.15	1.7651e-08
0.05	0.2	1.8184e-08
0.05	0.25	1.8647e-08
0.05	0.3	1.9083e-08
0.05	0.35	1.9501e-08
0.05	0.4	1.9899e-08
0.05	0.45	2.0275e-08
0.05	0.5	2.0623e-08
0.1	0.0	5.0665e-11
0.1	0.05	8.1632e-08
0.1	0.1	9.817e-08
0.1	0.15	1.0326e-07
0.1	0.2	1.0636e-07
0.1	0.25	1.0897e-07
0.1	0.3	1.1129e-07
0.1	0.35	1.1334e-07
0.1	0.4	1.1521e-07
0.1	0.45	1.1695e-07
0.1	0.5	1.1861e-07
0.15	0.0	2.668e-10
0.15	0.05	3.9616e-07
0.15	0.1	4.8649e-07
0.15	0.15	5.1144e-07
0.15	0.2	5.2388e-07
0.15	0.25	5.3341e-07
0.15	0.3	5.4188e-07
0.15	0.35	5.4966e-07
0.15	0.4	5.5686e-07
0.15	0.45	5.6347e-07
0.15	0.5	5.6953e-07
0.2	0.0	9.4028e-10
0.2	0.05	1.3027e-06
0.2	0.1	1.678e-06
0.2	0.15	1.7705e-06
0.2	0.2	1.805e-06
0.2	0.25	1.8268e-06
0.2	0.3	1.8446e-06
0.2	0.35	1.8603e-06
0.2	0.4	1.8747e-06
0.2	0.45	1.8879e-06
0.2	0.5	1.9001e-06
0.25	0.0	2.1909e-09
0.25	0.05	2.8105e-06
0.25	0.1	3.8866e-06
0.25	0.15	4.1692e-06
0.25	0.2	4.2476e-06
0.25	0.25	4.2843e-06
0.25	0.3	4.3104e-06
0.25	0.35	4.3323e-06
0.25	0.4	4.3517e-06
0.25	0.45	4.3693e-06
0.25	0.5	4.3855e-06
0.3	0.0	3.8511e-09
0.3	0.05	4.5916e-06
0.3	0.1	6.8471e-06
0.3	0.15	7.5472e-06
0.3	0.2	7.7313e-06
0.3	0.25	7.7934e-06
0.3	0.3	7.8285e-06
0.3	0.35	7.8554e-06
0.3	0.4	7.8784e-06
0.3	0.45	7.8988e-06
0.3	0.5	7.9172e-06
0.35	0.0	5.5999e-09
0.35	0.05	6.3733e-06
0.35	0.1	1.0177e-05
0.35	0.15	1.1652e-05
0.35	0.2	1.2042e-05
0.35	0.25	1.2161e-05
0.35	0.3	1.2212e-05
0.35	0.35	1.2245e-05
0.35	0.4	1.2272e-05
0.35	0.45	1.2295e-05
0.35	0.5	1.2315e-05
0.4	0.0	7.1888e-09
0.4	0.05	7.9962e-06
0.4	0.1	1.3512e-05
0.4	0.15	1.6138e-05
0.4	0.2	1.6988e-05
0.4	0.25	1.7217e-05
0.4	0.3	1.7298e-05
0.4	0.35	1.7342e-05
0.4	0.4	1.7376e-05
0.4	0.45	1.7402e-05
0.4	0.5	1.7425e-05
0.45	0.0	8.5031e-09
0.45	0.05	9.3971e-06
0.45	0.1	1.6586e-05
0.45	0.15	2.072e-05
0.45	0.2	2.2327e-05
0.45	0.25	2.282e-05
0.45	0.3	2.2968e-05
0.45	0.35	2.3031e-05
0.45	0.4	2.307e-05
0.45	0.45	2.3099e-05
0.45	0.5	2.3124e-05
0.5	0.0	9.5261e-09
0.5	0.05	1.0578e-05
0.5	0.1	1.9258e-05
0.5	0.15	2.4962e-05
0.5	0.2	2.7821e-05
0.5	0.25	2.8805e-05
0.5	0.3	2.9096e-05
0.5	0.35	2.9201e-05
0.5	0.4	2.9255e-05
0.5	0.45	2.9291e-05
0.5	0.5	2.9322e-05
