vg	vd	ids
0.0	0.0	-8.0368e-13
0.0	0.05	6.6793e-10
0.0	0.1	7.7694e-10
0.0	0.15	8.0043e-10
0.0	0.2	8.1048e-10
0.0	0.25	8.1791e-10
0.0	0.3	8.2445e-10
0.0	0.35	8.3046e-10
0.0	0.4	8.3607e-10
0.0	0.45	8.4136e-10
0.0	0.5	8.4639e-10
0.05	0.0	-3.4893e-12
0.05	0.05	4.3751e-09
0.05	0.1	5.1097e-09
0.05	0.15	5.267e-09
0.05	0.2	5.3338e-09
0.05	0.25	5.3828e-09
0.05	0.3	5.4259e-09
0.05	0.35	5.4657e-09
0.05	0.4	5.5028e-09
0.05	0.45	5.5378e-09
0.05	0.5	5.571e-09
0.1	0.0	-1.8811e-11
0.1	0.05	2.8116e-08
0.1	0.1	3.2941e-08
0.1	0.15	3.3972e-08
0.1	0.2	3.4402e-08
0.1	0.25	3.4713e-08
0.1	0.3	3.4986e-08
0.1	0.35	3.5235e-08
0.1	0.4	3.5466e-08
0.1	0.45	3.568e-08
0.1	0.5	3.5879e-08
0.15	0.0	-8.8457e-11
0.15	0.05	1.6421e-07
0.15	0.1	1.9479e-07
0.15	0.15	2.0114e-07
0.15	0.2	2.0355e-07
0.15	0.25	2.0517e-07
0.15	0.3	2.0653e-07
0.15	0.35	2.0774e-07
0.15	0.4	2.0884e-07
0.15	0.45	2.0985e-07
0.15	0.5	2.1078e-07
0.2	0.0	-2.1168e-10
0.2	0.05	7.0458e-07
0.2	0.1	8.7159e-07
0.2	0.15	9.0506e-07
0.2	0.2	9.1484e-07
0.2	0.25	9.2019e-07
0.2	0.3	9.2436e-07
0.2	0.35	9.2796e-07
0.2	0.4	9.3117e-07
0.2	0.45	9.3409e-07
0.2	0.5	9.3676e-07
0.25	0.0	-6.3335e-11
0.25	0.05	1.8458e-06
0.25	0.1	2.4739e-06
0.25	0.15	2.6132e-06
0.25	0.2	2.6461e-06
0.25	0.25	2.6587e-06
0.25	0.3	2.6668e-06
0.25	0.35	2.6733e-06
0.25	0.4	2.6789e-06
0.25	0.45	2.6839e-06
0.25	0.5	2.6885e-06
0.3	0.0	6.0861e-10
0.3	0.05	3.2992e-06
0.3	0.1	4.8452e-06
0.3	0.15	5.2771e-06
0.3	0.2	5.3782e-06
0.3	0.25	5.408e-06
0.3	0.3	5.4225e-06
0.3	0.35	5.4326e-06
0.3	0.4	5.4418e-06
0.3	0.45	5.4491e-06
0.3	0.5	5.4553e-06
0.35	0.0	1.6507e-09
0.35	0.05	4.7652e-06
0.35	0.1	7.5771e-06
0.35	0.15	8.6016e-06
0.35	0.2	8.8741e-06
0.35	0.25	8.9442e-06
0.35	0.3	8.9705e-06
0.35	0.35	8.9859e-06
0.35	0.4	8.9974e-06
0.35	0.45	9.007e-06
0.35	0.5	9.0153e-06
0.4	0.0	2.7916e-09
0.4	0.05	6.1e-06
0.4	0.1	1.0324e-05
0.4	0.15	1.2288e-05
0.4	0.2	1.2914e-05
0.4	0.25	1.3082e-05
0.4	0.3	1.3134e-05
0.4	0.35	1.3157e-05
0.4	0.4	1.3173e-05
0.4	0.45	1.3186e-05
0.4	0.5	1.3196e-05
0.45	0.0	3.8215e-09
0.45	0.05	7.2463e-06
0.45	0.1	1.2813e-05
0.45	0.15	1.5989e-05
0.45	0.2	1.7294e-05
0.45	0.25	1.7672e-05
0.45	0.3	1.778e-05
0.45	0.35	1.7821e-05
0.45	0.4	1.7844e-05
0.45	0.45	1.786e-05
0.45	0.5	1.7874e-05
0.5	0.0	4.6884e-09
0.5	0.05	8.1976e-06
0.5	0.1	1.4971e-05
0.5	0.15	1.9483e-05
0.5	0.2	2.1729e-05
0.5	0.25	2.2562e-05
0.5	0.3	2.2797e-05
0.5	0.35	2.2878e-05
0.5	0.4	2.2914e-05
0.5	0.45	2.2936e-05
0.5	0.5	2.2952e-05
