vg	vd	ids
0.0	0.0	1.3323e-12
0.0	0.05	1.6455e-09
0.0	0.1	1.9186e-09
0.0	0.15	1.9778e-09
0.0	0.2	2.0034e-09
0.0	0.25	2.0226e-09
0.0	0.3	2.0397e-09
0.0	0.35	2.0554e-09
0.0	0.4	2.0702e-09
0.0	0.45	2.084e-09
0.0	0.5	2.0971e-09
0.05	0.0	3.225e-12
0.05	0.05	1.074e-08
0.05	0.1	1.2548e-08
0.05	0.15	1.2943e-08
0.05	0.2	1.3113e-08
0.05	0.25	1.3239e-08
0.05	0.3	1.335e-08
0.05	0.35	1.3452e-08
0.05	0.4	1.3546e-08
0.05	0.45	1.3634e-08
0.05	0.5	1.3715e-08
0.1	0.0	1.5028e-11
0.1	0.05	6.7297e-08
0.1	0.1	7.9053e-08
0.1	0.15	8.1597e-08
0.1	0.2	8.2645e-08
0.1	0.25	8.3395e-08
0.1	0.3	8.4041e-08
0.1	0.35	8.4622e-08
0.1	0.4	8.5153e-08
0.1	0.45	8.5642e-08
0.1	0.5	8.6066e-08
0.15	0.0	8.5682e-11
0.15	0.05	3.5668e-07
0.15	0.1	4.2809e-07
0.15	0.15	4.4281e-07
0.15	0.2	4.4795e-07
0.15	0.25	4.5123e-07
0.15	0.3	4.5394e-07
0.15	0.35	4.5633e-07
0.15	0.4	4.5849e-07
0.15	0.45	4.6046e-07
0.15	0.5	4.6227e-07
0.2	0.0	3.039e-10
0.2	0.05	1.2505e-06
0.2	0.1	1.5876e-06
0.2	0.15	1.6574e-06
0.2	0.2	1.6761e-06
0.2	0.25	1.6852e-06
0.2	0.3	1.6919e-06
0.2	0.35	1.6975e-06
0.2	0.4	1.7025e-06
0.2	0.45	1.707e-06
0.2	0.5	1.711e-06
0.25	0.0	6.7435e-10
0.25	0.05	2.7597e-06
0.25	0.1	3.7969e-06
0.25	0.15	4.0504e-06
0.25	0.2	4.1084e-06
0.25	0.25	4.1291e-06
0.25	0.3	4.1414e-06
0.25	0.35	4.151e-06
0.25	0.4	4.1591e-06
0.25	0.45	4.1662e-06
0.25	0.5	4.1725e-06
0.3	0.0	1.1605e-09
0.3	0.05	4.5327e-06
0.3	0.1	6.7587e-06
0.3	0.15	7.4465e-06
0.3	0.2	7.6041e-06
0.3	0.25	7.65e-06
0.3	0.3	7.6715e-06
0.3	0.35	7.6862e-06
0.3	0.4	7.6981e-06
0.3	0.45	7.7082e-06
0.3	0.5	7.717e-06
0.35	0.0	1.7142e-09
0.35	0.05	6.2958e-06
0.35	0.1	1.0073e-05
0.35	0.15	1.1549e-05
0.35	0.2	1.193e-05
0.35	0.25	1.2036e-05
0.35	0.3	1.2075e-05
0.35	0.35	1.2097e-05
0.35	0.4	1.2114e-05
0.35	0.45	1.2127e-05
0.35	0.5	1.2139e-05
0.4	0.0	2.2943e-09
0.4	0.05	7.895e-06
0.4	0.1	1.3376e-05
0.4	0.15	1.602e-05
0.4	0.2	1.6885e-05
0.4	0.25	1.711e-05
0.4	0.3	1.7182e-05
0.4	0.35	1.7216e-05
0.4	0.4	1.7241e-05
0.4	0.45	1.7259e-05
0.4	0.5	1.7274e-05
0.45	0.0	2.868e-09
0.45	0.05	9.2742e-06
0.45	0.1	1.6407e-05
0.45	0.15	2.0567e-05
0.45	0.2	2.2217e-05
0.45	0.25	2.2725e-05
0.45	0.3	2.2869e-05
0.45	0.35	2.2925e-05
0.45	0.4	2.2957e-05
0.45	0.45	2.2979e-05
0.45	0.5	2.2998e-05
0.5	0.0	3.3985e-09
0.5	0.05	1.0439e-05
0.5	0.1	1.9037e-05
0.5	0.15	2.4743e-05
0.5	0.2	2.7681e-05
0.5	0.25	2.8712e-05
0.5	0.3	2.9012e-05
0.5	0.35	2.9114e-05
0.5	0.4	2.9162e-05
0.5	0.45	2.9192e-05
0.5	0.5	2.9217e-05
