vg	vd	ids
0.0	0.0	1.7005e-13
0.0	0.05	1.8354e-11
0.0	0.1	2.1016e-11
0.0	0.15	2.1416e-11
0.0	0.2	2.1485e-11
0.0	0.25	2.1504e-11
0.0	0.3	2.1515e-11
0.0	0.35	2.1525e-11
0.0	0.4	2.1533e-11
0.0	0.45	2.1541e-11
0.0	0.5	2.1548e-11
0.05	0.0	7.4663e-13
0.05	0.05	1.2604e-10
0.05	0.1	1.4484e-10
0.05	0.15	1.476e-10
0.05	0.2	1.4808e-10
0.05	0.25	1.4823e-10
0.05	0.3	1.4831e-10
0.05	0.35	1.4838e-10
0.05	0.4	1.4844e-10
0.05	0.45	1.485e-10
0.05	0.5	1.4856e-10
0.1	0.0	4.9239e-12
0.1	0.05	8.6932e-10
0.1	0.1	9.9874e-10
0.1	0.15	1.0182e-09
0.1	0.2	1.0216e-09
0.1	0.25	1.0227e-09
0.1	0.3	1.0234e-09
0.1	0.35	1.0239e-09
0.1	0.4	1.0244e-09
0.1	0.45	1.0248e-09
0.1	0.5	1.0252e-09
0.15	0.0	3.4017e-11
0.15	0.05	5.915e-09
0.15	0.1	6.8092e-09
0.15	0.15	6.9443e-09
0.15	0.2	6.9692e-09
0.15	0.25	6.9773e-09
0.15	0.3	6.9824e-09
0.15	0.35	6.9865e-09
0.15	0.4	6.9901e-09
0.15	0.45	6.9934e-09
0.15	0.5	6.9963e-09
0.2	0.0	2.2106e-10
0.2	0.05	3.8655e-08
0.2	0.1	4.477e-08
0.2	0.15	4.5714e-08
0.2	0.2	4.5892e-08
0.2	0.25	4.5952e-08
0.2	0.3	4.599e-08
0.2	0.35	4.6021e-08
0.2	0.4	4.6047e-08
0.2	0.45	4.607e-08
0.2	0.5	4.6091e-08
0.25	0.0	1.1189e-09
0.25	0.05	2.1419e-07
0.25	0.1	2.5483e-07
0.25	0.15	2.6141e-07
0.25	0.2	2.6268e-07
0.25	0.25	2.6308e-07
0.25	0.3	2.6333e-07
0.25	0.35	2.6352e-07
0.25	0.4	2.6368e-07
0.25	0.45	2.6382e-07
0.25	0.5	2.6394e-07
0.3	0.0	3.2313e-09
0.3	0.05	7.5944e-07
0.3	0.1	9.8016e-07
0.3	0.15	1.0226e-06
0.3	0.2	1.0308e-06
0.3	0.25	1.033e-06
0.3	0.3	1.0341e-06
0.3	0.35	1.0348e-06
0.3	0.4	1.0355e-06
0.3	0.45	1.036e-06
0.3	0.5	1.0365e-06
0.35	0.0	5.6258e-09
0.35	0.05	1.5853e-06
0.35	0.1	2.3207e-06
0.35	0.15	2.5248e-06
0.35	0.2	2.5696e-06
0.35	0.25	2.5807e-06
0.35	0.3	2.5843e-06
0.35	0.35	2.5863e-06
0.35	0.4	2.5879e-06
0.35	0.45	2.5891e-06
0.35	0.5	2.5902e-06
0.4	0.0	7.6411e-09
0.4	0.05	2.3886e-06
0.4	0.1	3.8756e-06
0.4	0.15	4.5299e-06
0.4	0.2	4.7195e-06
0.4	0.25	4.7631e-06
0.4	0.3	4.7751e-06
0.4	0.35	4.7805e-06
0.4	0.4	4.7835e-06
0.4	0.45	4.7857e-06
0.4	0.5	4.7875e-06
0.45	0.0	9.2115e-09
0.45	0.05	3.0361e-06
0.45	0.1	5.3087e-06
0.45	0.15	6.6454e-06
0.45	0.2	7.194e-06
0.45	0.25	7.3546e-06
0.45	0.3	7.3954e-06
0.45	0.35	7.4083e-06
0.45	0.4	7.4146e-06
0.45	0.45	7.4183e-06
0.45	0.5	7.421e-06
0.5	0.0	1.0386e-08
0.5	0.05	3.5064e-06
0.5	0.1	6.4563e-06
0.5	0.15	8.4971e-06
0.5	0.2	9.6382e-06
0.5	0.25	1.0097e-05
0.5	0.3	1.0237e-05
0.5	0.35	1.0275e-05
0.5	0.4	1.0289e-05
0.5	0.45	1.0295e-05
0.5	0.5	1.0299e-05
