vg	vd	ids
0.0	0.0	1.8618e-11
0.0	0.05	6.8423e-09
0.0	0.1	8.3097e-09
0.0	0.15	8.8572e-09
0.0	0.2	9.2521e-09
0.0	0.25	9.6176e-09
0.0	0.3	9.9698e-09
0.0	0.35	1.0303e-08
0.0	0.4	1.061e-08
0.0	0.45	1.09e-08
0.0	0.5	1.118e-08
0.05	0.0	1.0452e-10
0.05	0.05	3.9744e-08
0.05	0.1	4.8404e-08
0.05	0.15	5.1627e-08
0.05	0.2	5.3915e-08
0.05	0.25	5.5906e-08
0.05	0.3	5.7702e-08
0.05	0.35	5.9393e-08
0.05	0.4	6.103e-08
0.05	0.45	6.2627e-08
0.05	0.5	6.4189e-08
0.1	0.0	5.2147e-10
0.1	0.05	2.0974e-07
0.1	0.1	2.5795e-07
0.1	0.15	2.7447e-07
0.1	0.2	2.8476e-07
0.1	0.25	2.9355e-07
0.1	0.3	3.017e-07
0.1	0.35	3.093e-07
0.1	0.4	3.163e-07
0.1	0.45	3.228e-07
0.1	0.5	3.2896e-07
0.15	0.0	1.8713e-09
0.15	0.05	8.5221e-07
0.15	0.1	1.0733e-06
0.15	0.15	1.1375e-06
0.15	0.2	1.1704e-06
0.15	0.25	1.1955e-06
0.15	0.3	1.2176e-06
0.15	0.35	1.2379e-06
0.15	0.4	1.2566e-06
0.15	0.45	1.2739e-06
0.15	0.5	1.29e-06
0.2	0.0	4.3828e-09
0.2	0.05	2.3132e-06
0.2	0.1	3.0477e-06
0.2	0.15	3.2415e-06
0.2	0.2	3.3123e-06
0.2	0.25	3.3571e-06
0.2	0.3	3.3939e-06
0.2	0.35	3.4265e-06
0.2	0.4	3.4563e-06
0.2	0.45	3.4837e-06
0.2	0.5	3.5091e-06
0.25	0.0	7.5488e-09
0.25	0.05	4.4665e-06
0.25	0.1	6.2526e-06
0.25	0.15	6.7213e-06
0.25	0.2	6.8564e-06
0.25	0.25	6.9225e-06
0.25	0.3	6.9706e-06
0.25	0.35	7.0114e-06
0.25	0.4	7.0479e-06
0.25	0.45	7.0842e-06
0.25	0.5	7.1151e-06
0.3	0.0	1.0911e-08
0.3	0.05	6.9464e-06
0.3	0.1	1.0355e-05
0.3	0.15	1.1367e-05
0.3	0.2	1.1639e-05
0.3	0.25	1.1739e-05
0.3	0.3	1.1799e-05
0.3	0.35	1.1847e-05
0.3	0.4	1.1888e-05
0.3	0.45	1.1928e-05
0.3	0.5	1.1963e-05
0.35	0.0	1.4231e-08
0.35	0.05	9.4444e-06
0.35	0.1	1.4961e-05
0.35	0.15	1.6925e-05
0.35	0.2	1.7468e-05
0.35	0.25	1.763e-05
0.35	0.3	1.771e-05
0.35	0.35	1.7766e-05
0.35	0.4	1.7812e-05
0.35	0.45	1.7853e-05
0.35	0.5	1.7889e-05
0.4	0.0	1.7362e-08
0.4	0.05	1.1769e-05
0.4	0.1	1.9603e-05
0.4	0.15	2.3106e-05
0.4	0.2	2.4156e-05
0.4	0.25	2.4447e-05
0.4	0.3	2.4563e-05
0.4	0.35	2.4633e-05
0.4	0.4	2.4691e-05
0.4	0.45	2.4737e-05
0.4	0.5	2.4776e-05
0.45	0.0	2.0223e-08
0.45	0.05	1.3837e-05
0.45	0.1	2.4076e-05
0.45	0.15	2.9566e-05
0.45	0.2	3.1513e-05
0.45	0.25	3.2063e-05
0.45	0.3	3.226e-05
0.45	0.35	3.2354e-05
0.45	0.4	3.2417e-05
0.45	0.45	3.2468e-05
0.45	0.5	3.2511e-05
0.5	0.0	2.2797e-08
0.5	0.05	1.5637e-05
0.5	0.1	2.811e-05
0.5	0.15	3.5811e-05
0.5	0.2	3.9227e-05
0.5	0.25	4.0315e-05
0.5	0.3	4.0668e-05
0.5	0.35	4.0809e-05
0.5	0.4	4.0889e-05
0.5	0.45	4.0948e-05
0.5	0.5	4.0996e-05
