vg	vd	ids
0.0	0.0	3.0113e-12
0.0	0.05	7.0055e-10
0.0	0.1	8.0918e-10
0.0	0.15	8.2859e-10
0.0	0.2	8.3454e-10
0.0	0.25	8.3822e-10
0.0	0.3	8.4132e-10
0.0	0.35	8.4413e-10
0.0	0.4	8.4671e-10
0.0	0.45	8.491e-10
0.0	0.5	8.5134e-10
0.05	0.0	1.8788e-11
0.05	0.05	4.6894e-09
0.05	0.1	5.4281e-09
0.05	0.15	5.5614e-09
0.05	0.2	5.6026e-09
0.05	0.25	5.6281e-09
0.05	0.3	5.6493e-09
0.05	0.35	5.6683e-09
0.05	0.4	5.6857e-09
0.05	0.45	5.7017e-09
0.05	0.5	5.7166e-09
0.1	0.0	1.2088e-10
0.1	0.05	3.0703e-08
0.1	0.1	3.5657e-08
0.1	0.15	3.6561e-08
0.1	0.2	3.6838e-08
0.1	0.25	3.7006e-08
0.1	0.3	3.7143e-08
0.1	0.35	3.7265e-08
0.1	0.4	3.7375e-08
0.1	0.45	3.7476e-08
0.1	0.5	3.7569e-08
0.15	0.0	6.8687e-10
0.15	0.05	1.8171e-07
0.15	0.1	2.1395e-07
0.15	0.15	2.1983e-07
0.15	0.2	2.2151e-07
0.15	0.25	2.2244e-07
0.15	0.3	2.2316e-07
0.15	0.35	2.238e-07
0.15	0.4	2.2436e-07
0.15	0.45	2.2487e-07
0.15	0.5	2.2534e-07
0.2	0.0	2.5969e-09
0.2	0.05	7.7111e-07
0.2	0.1	9.519e-07
0.2	0.15	9.8613e-07
0.2	0.2	9.9434e-07
0.2	0.25	9.9793e-07
0.2	0.3	1.0004e-06
0.2	0.35	1.0025e-06
0.2	0.4	1.0043e-06
0.2	0.45	1.0059e-06
0.2	0.5	1.0074e-06
0.25	0.0	5.9425e-09
0.25	0.05	1.965e-06
0.25	0.1	2.6452e-06
0.25	0.15	2.798e-06
0.25	0.2	2.8317e-06
0.25	0.25	2.8428e-06
0.25	0.3	2.849e-06
0.25	0.35	2.8536e-06
0.25	0.4	2.8575e-06
0.25	0.45	2.8609e-06
0.25	0.5	2.8639e-06
0.3	0.0	9.885e-09
0.3	0.05	3.4406e-06
0.3	0.1	5.0888e-06
0.3	0.15	5.5783e-06
0.3	0.2	5.6894e-06
0.3	0.25	5.7197e-06
0.3	0.3	5.7329e-06
0.3	0.35	5.7415e-06
0.3	0.4	5.749e-06
0.3	0.45	5.7547e-06
0.3	0.5	5.7595e-06
0.35	0.0	1.3742e-08
0.35	0.05	4.8934e-06
0.35	0.1	7.8481e-06
0.35	0.15	9.0068e-06
0.35	0.2	9.3194e-06
0.35	0.25	9.3975e-06
0.35	0.3	9.4244e-06
0.35	0.35	9.4389e-06
0.35	0.4	9.4493e-06
0.35	0.45	9.4577e-06
0.35	0.5	9.4655e-06
0.4	0.0	1.7159e-08
0.4	0.05	6.1777e-06
0.4	0.1	1.055e-05
0.4	0.15	1.2715e-05
0.4	0.2	1.3481e-05
0.4	0.25	1.3681e-05
0.4	0.3	1.3739e-05
0.4	0.35	1.3764e-05
0.4	0.4	1.3779e-05
0.4	0.45	1.3791e-05
0.4	0.5	1.38e-05
0.45	0.0	2.002e-08
0.45	0.05	7.2441e-06
0.45	0.1	1.294e-05
0.45	0.15	1.6391e-05
0.45	0.2	1.7928e-05
0.45	0.25	1.8398e-05
0.45	0.3	1.8529e-05
0.45	0.35	1.8576e-05
0.45	0.4	1.8599e-05
0.45	0.45	1.8616e-05
0.45	0.5	1.8629e-05
0.5	0.0	2.2369e-08
0.5	0.05	8.1039e-06
0.5	0.1	1.4912e-05
0.5	0.15	1.9676e-05
0.5	0.2	2.2293e-05
0.5	0.25	2.3348e-05
0.5	0.3	2.3656e-05
0.5	0.35	2.3757e-05
0.5	0.4	2.3797e-05
0.5	0.45	2.3819e-05
0.5	0.5	2.3834e-05
