vg	vd	ids
0.0	0.0	7.983e-12
0.0	0.05	3.8036e-09
0.0	0.1	4.4297e-09
0.0	0.15	4.5614e-09
0.0	0.2	4.616e-09
0.0	0.25	4.6563e-09
0.0	0.3	4.692e-09
0.0	0.35	4.7251e-09
0.0	0.4	4.756e-09
0.0	0.45	4.7851e-09
0.0	0.5	4.8125e-09
0.05	0.0	4.5775e-11
0.05	0.05	2.4775e-08
0.05	0.1	2.8929e-08
0.05	0.15	2.9803e-08
0.05	0.2	3.0159e-08
0.05	0.25	3.0415e-08
0.05	0.3	3.064e-08
0.05	0.35	3.0846e-08
0.05	0.4	3.1037e-08
0.05	0.45	3.1216e-08
0.05	0.5	3.1384e-08
0.1	0.0	2.5948e-10
0.1	0.05	1.5057e-07
0.1	0.1	1.7746e-07
0.1	0.15	1.83e-07
0.1	0.2	1.8508e-07
0.1	0.25	1.8649e-07
0.1	0.3	1.877e-07
0.1	0.35	1.8879e-07
0.1	0.4	1.8979e-07
0.1	0.45	1.9072e-07
0.1	0.5	1.9159e-07
0.15	0.0	1.0904e-09
0.15	0.05	7.0856e-07
0.15	0.1	8.6217e-07
0.15	0.15	8.9283e-07
0.15	0.2	9.0232e-07
0.15	0.25	9.0781e-07
0.15	0.3	9.1218e-07
0.15	0.35	9.16e-07
0.15	0.4	9.1943e-07
0.15	0.45	9.2257e-07
0.15	0.5	9.2546e-07
0.2	0.0	2.83e-09
0.2	0.05	2.0936e-06
0.2	0.1	2.7061e-06
0.2	0.15	2.8351e-06
0.2	0.2	2.8681e-06
0.2	0.25	2.8829e-06
0.2	0.3	2.8932e-06
0.2	0.35	2.9017e-06
0.2	0.4	2.9092e-06
0.2	0.45	2.9158e-06
0.2	0.5	2.9218e-06
0.25	0.0	5.158e-09
0.25	0.05	4.1494e-06
0.25	0.1	5.7723e-06
0.25	0.15	6.1671e-06
0.25	0.2	6.2591e-06
0.25	0.25	6.2922e-06
0.25	0.3	6.312e-06
0.25	0.35	6.3271e-06
0.25	0.4	6.3398e-06
0.25	0.45	6.3509e-06
0.25	0.5	6.3618e-06
0.3	0.0	7.6982e-09
0.3	0.05	6.5449e-06
0.3	0.1	9.7278e-06
0.3	0.15	1.0655e-05
0.3	0.2	1.0881e-05
0.3	0.25	1.0948e-05
0.3	0.3	1.0982e-05
0.3	0.35	1.1006e-05
0.3	0.4	1.1025e-05
0.3	0.45	1.1043e-05
0.3	0.5	1.1057e-05
0.35	0.0	1.0223e-08
0.35	0.05	8.9871e-06
0.35	0.1	1.42e-05
0.35	0.15	1.6063e-05
0.35	0.2	1.6539e-05
0.35	0.25	1.667e-05
0.35	0.3	1.6724e-05
0.35	0.35	1.6759e-05
0.35	0.4	1.6785e-05
0.35	0.45	1.6807e-05
0.35	0.5	1.6827e-05
0.4	0.0	1.2599e-08
0.4	0.05	1.1275e-05
0.4	0.1	1.8741e-05
0.4	0.15	2.2063e-05
0.4	0.2	2.3055e-05
0.4	0.25	2.3315e-05
0.4	0.3	2.3407e-05
0.4	0.35	2.3457e-05
0.4	0.4	2.3496e-05
0.4	0.45	2.3525e-05
0.4	0.5	2.3549e-05
0.45	0.0	1.4783e-08
0.45	0.05	1.3343e-05
0.45	0.1	2.3257e-05
0.45	0.15	2.8399e-05
0.45	0.2	3.0253e-05
0.45	0.25	3.0769e-05
0.45	0.3	3.0941e-05
0.45	0.35	3.1016e-05
0.45	0.4	3.1062e-05
0.45	0.45	3.1098e-05
0.45	0.5	3.1127e-05
0.5	0.0	1.6685e-08
0.5	0.05	1.5161e-05
0.5	0.1	2.7317e-05
0.5	0.15	3.4574e-05
0.5	0.2	3.7843e-05
0.5	0.25	3.8883e-05
0.5	0.3	3.921e-05
0.5	0.35	3.9331e-05
0.5	0.4	3.9396e-05
0.5	0.45	3.944e-05
0.5	0.5	3.9476e-05
