vg	vd	ids
0.0	0.0	-1.48e-11
0.0	0.05	4.496e-09
0.0	0.1	5.2497e-09
0.0	0.15	5.4108e-09
0.0	0.2	5.4789e-09
0.0	0.25	5.5295e-09
0.0	0.3	5.5747e-09
0.0	0.35	5.6166e-09
0.0	0.4	5.6559e-09
0.0	0.45	5.6929e-09
0.0	0.5	5.728e-09
0.05	0.0	-9.8328e-11
0.05	0.05	2.9094e-08
0.05	0.1	3.4175e-08
0.05	0.15	3.5243e-08
0.05	0.2	3.5684e-08
0.05	0.25	3.6005e-08
0.05	0.3	3.6287e-08
0.05	0.35	3.6545e-08
0.05	0.4	3.6786e-08
0.05	0.45	3.7012e-08
0.05	0.5	3.7224e-08
0.1	0.0	-5.7062e-10
0.1	0.05	1.7533e-07
0.1	0.1	2.0811e-07
0.1	0.15	2.1482e-07
0.1	0.2	2.1738e-07
0.1	0.25	2.1914e-07
0.1	0.3	2.2063e-07
0.1	0.35	2.2198e-07
0.1	0.4	2.2323e-07
0.1	0.45	2.2438e-07
0.1	0.5	2.2545e-07
0.15	0.0	-2.243e-09
0.15	0.05	8.0635e-07
0.15	0.1	9.9027e-07
0.15	0.15	1.0269e-06
0.15	0.2	1.0383e-06
0.15	0.25	1.045e-06
0.15	0.3	1.0502e-06
0.15	0.35	1.0549e-06
0.15	0.4	1.059e-06
0.15	0.45	1.0628e-06
0.15	0.5	1.0663e-06
0.2	0.0	-5.3081e-09
0.2	0.05	2.326e-06
0.2	0.1	3.0339e-06
0.2	0.15	3.182e-06
0.2	0.2	3.2204e-06
0.2	0.25	3.238e-06
0.2	0.3	3.2503e-06
0.2	0.35	3.2606e-06
0.2	0.4	3.2695e-06
0.2	0.45	3.2775e-06
0.2	0.5	3.2847e-06
0.25	0.0	-8.9548e-09
0.25	0.05	4.5786e-06
0.25	0.1	6.3818e-06
0.25	0.15	6.8107e-06
0.25	0.2	6.9183e-06
0.25	0.25	6.9566e-06
0.25	0.3	6.9798e-06
0.25	0.35	6.9979e-06
0.25	0.4	7.0131e-06
0.25	0.45	7.0264e-06
0.25	0.5	7.0383e-06
0.3	0.0	-1.2636e-08
0.3	0.05	7.1957e-06
0.3	0.1	1.0691e-05
0.3	0.15	1.1685e-05
0.3	0.2	1.1927e-05
0.3	0.25	1.2002e-05
0.3	0.3	1.204e-05
0.3	0.35	1.2068e-05
0.3	0.4	1.2091e-05
0.3	0.45	1.211e-05
0.3	0.5	1.2127e-05
0.35	0.0	-1.6108e-08
0.35	0.05	9.8883e-06
0.35	0.1	1.5593e-05
0.35	0.15	1.7549e-05
0.35	0.2	1.8056e-05
0.35	0.25	1.8198e-05
0.35	0.3	1.8261e-05
0.35	0.35	1.8304e-05
0.35	0.4	1.8336e-05
0.35	0.45	1.8362e-05
0.35	0.5	1.8385e-05
0.4	0.0	-1.9254e-08
0.4	0.05	1.2462e-05
0.4	0.1	2.0644e-05
0.4	0.15	2.4156e-05
0.4	0.2	2.5161e-05
0.4	0.25	2.5442e-05
0.4	0.3	2.5543e-05
0.4	0.35	2.56e-05
0.4	0.4	2.5641e-05
0.4	0.45	2.5674e-05
0.4	0.5	2.5703e-05
0.45	0.0	-2.2034e-08
0.45	0.05	1.4811e-05
0.45	0.1	2.5625e-05
0.45	0.15	3.1116e-05
0.45	0.2	3.306e-05
0.45	0.25	3.3605e-05
0.45	0.3	3.3779e-05
0.45	0.35	3.3861e-05
0.45	0.4	3.3915e-05
0.45	0.45	3.3956e-05
0.45	0.5	3.3994e-05
0.5	0.0	-2.451e-08
0.5	0.05	1.6901e-05
0.5	0.1	3.0244e-05
0.5	0.15	3.8152e-05
0.5	0.2	4.1501e-05
0.5	0.25	4.2542e-05
0.5	0.3	4.2862e-05
0.5	0.35	4.2991e-05
0.5	0.4	4.3063e-05
0.5	0.45	4.3119e-05
0.5	0.5	4.3162e-05
