vg	vd	ids
0.0	0.0	2.3145e-11
0.0	0.05	2.9367e-09
0.0	0.1	3.4233e-09
0.0	0.15	3.5309e-09
0.0	0.2	3.5787e-09
0.0	0.25	3.6151e-09
0.0	0.3	3.6475e-09
0.0	0.35	3.6776e-09
0.0	0.4	3.7056e-09
0.0	0.45	3.7319e-09
0.0	0.5	3.7566e-09
0.05	0.0	1.5071e-10
0.05	0.05	1.9046e-08
0.05	0.1	2.2255e-08
0.05	0.15	2.2966e-08
0.05	0.2	2.3277e-08
0.05	0.25	2.351e-08
0.05	0.3	2.3714e-08
0.05	0.35	2.3902e-08
0.05	0.4	2.4075e-08
0.05	0.45	2.4236e-08
0.05	0.5	2.4387e-08
0.1	0.0	8.9827e-10
0.1	0.05	1.1647e-07
0.1	0.1	1.3709e-07
0.1	0.15	1.4156e-07
0.1	0.2	1.4338e-07
0.1	0.25	1.4468e-07
0.1	0.3	1.458e-07
0.1	0.35	1.4681e-07
0.1	0.4	1.4773e-07
0.1	0.45	1.4856e-07
0.1	0.5	1.4936e-07
0.15	0.0	3.8974e-09
0.15	0.05	5.6852e-07
0.15	0.1	6.8818e-07
0.15	0.15	7.1283e-07
0.15	0.2	7.2105e-07
0.15	0.25	7.2609e-07
0.15	0.3	7.302e-07
0.15	0.35	7.3382e-07
0.15	0.4	7.3708e-07
0.15	0.45	7.4006e-07
0.15	0.5	7.428e-07
0.2	0.0	1.0134e-08
0.2	0.05	1.7656e-06
0.2	0.1	2.27e-06
0.2	0.15	2.377e-06
0.2	0.2	2.4052e-06
0.2	0.25	2.4182e-06
0.2	0.3	2.4275e-06
0.2	0.35	2.4353e-06
0.2	0.4	2.4421e-06
0.2	0.45	2.4482e-06
0.2	0.5	2.4537e-06
0.25	0.0	1.7954e-08
0.25	0.05	3.6108e-06
0.25	0.1	5.0116e-06
0.25	0.15	5.3501e-06
0.25	0.2	5.4335e-06
0.25	0.25	5.4619e-06
0.25	0.3	5.4786e-06
0.25	0.35	5.4914e-06
0.25	0.4	5.5022e-06
0.25	0.45	5.5117e-06
0.25	0.5	5.5202e-06
0.3	0.0	2.5842e-08
0.3	0.05	5.743e-06
0.3	0.1	8.5465e-06
0.3	0.15	9.4205e-06
0.3	0.2	9.6219e-06
0.3	0.25	9.6854e-06
0.3	0.3	9.7143e-06
0.3	0.35	9.734e-06
0.3	0.4	9.7499e-06
0.3	0.45	9.7635e-06
0.3	0.5	9.7753e-06
0.35	0.0	3.3092e-08
0.35	0.05	7.8797e-06
0.35	0.1	1.2514e-05
0.35	0.15	1.4299e-05
0.35	0.2	1.4764e-05
0.35	0.25	1.4889e-05
0.35	0.3	1.4939e-05
0.35	0.35	1.4971e-05
0.35	0.4	1.4993e-05
0.35	0.45	1.5011e-05
0.35	0.5	1.5027e-05
0.4	0.0	3.9491e-08
0.4	0.05	9.848e-06
0.4	0.1	1.6524e-05
0.4	0.15	1.9683e-05
0.4	0.2	2.065e-05
0.4	0.25	2.0917e-05
0.4	0.3	2.1005e-05
0.4	0.35	2.1048e-05
0.4	0.4	2.1078e-05
0.4	0.45	2.1101e-05
0.4	0.5	2.1121e-05
0.45	0.0	4.508e-08
0.45	0.05	1.1579e-05
0.45	0.1	2.0281e-05
0.45	0.15	2.5164e-05
0.45	0.2	2.7064e-05
0.45	0.25	2.7614e-05
0.45	0.3	2.7779e-05
0.45	0.35	2.7848e-05
0.45	0.4	2.7888e-05
0.45	0.45	2.7921e-05
0.45	0.5	2.7946e-05
0.5	0.0	4.9962e-08
0.5	0.05	1.3069e-05
0.5	0.1	2.3612e-05
0.5	0.15	3.0474e-05
0.5	0.2	3.3725e-05
0.5	0.25	3.4813e-05
0.5	0.3	3.5142e-05
0.5	0.35	3.5265e-05
0.5	0.4	3.5325e-05
0.5	0.45	3.5363e-05
0.5	0.5	3.5393e-05
