vg	vd	ids
0.0	0.0	4.5317e-12
0.0	0.05	1.3838e-09
0.0	0.1	1.606e-09
0.0	0.15	1.6509e-09
0.0	0.2	1.6684e-09
0.0	0.25	1.6809e-09
0.0	0.3	1.692e-09
0.0	0.35	1.7021e-09
0.0	0.4	1.7116e-09
0.0	0.45	1.7206e-09
0.0	0.5	1.729e-09
0.05	0.0	3.1769e-11
0.05	0.05	9.1018e-09
0.05	0.1	1.0586e-08
0.05	0.15	1.0888e-08
0.05	0.2	1.1005e-08
0.05	0.25	1.1088e-08
0.05	0.3	1.116e-08
0.05	0.35	1.1226e-08
0.05	0.4	1.1287e-08
0.05	0.45	1.1344e-08
0.05	0.5	1.1397e-08
0.1	0.0	2.0271e-10
0.1	0.05	5.7846e-08
0.1	0.1	6.7592e-08
0.1	0.15	6.9565e-08
0.1	0.2	7.0301e-08
0.1	0.25	7.0804e-08
0.1	0.3	7.1233e-08
0.1	0.35	7.1593e-08
0.1	0.4	7.1948e-08
0.1	0.45	7.2276e-08
0.1	0.5	7.2581e-08
0.15	0.0	1.0066e-09
0.15	0.05	3.1558e-07
0.15	0.1	3.7614e-07
0.15	0.15	3.8805e-07
0.15	0.2	3.9189e-07
0.15	0.25	3.9423e-07
0.15	0.3	3.9614e-07
0.15	0.35	3.9782e-07
0.15	0.4	3.9934e-07
0.15	0.45	4.0073e-07
0.15	0.5	4.0201e-07
0.2	0.0	3.0066e-09
0.2	0.05	1.1503e-06
0.2	0.1	1.4486e-06
0.2	0.15	1.5083e-06
0.2	0.2	1.5235e-06
0.2	0.25	1.5306e-06
0.2	0.3	1.5357e-06
0.2	0.35	1.5401e-06
0.2	0.4	1.5439e-06
0.2	0.45	1.5473e-06
0.2	0.5	1.5504e-06
0.25	0.0	5.6203e-09
0.25	0.05	2.6091e-06
0.25	0.1	3.5599e-06
0.25	0.15	3.7815e-06
0.25	0.2	3.8325e-06
0.25	0.25	3.8503e-06
0.25	0.3	3.8608e-06
0.25	0.35	3.8688e-06
0.25	0.4	3.8757e-06
0.25	0.45	3.8817e-06
0.25	0.5	3.887e-06
0.3	0.0	8.15e-09
0.3	0.05	4.3597e-06
0.3	0.1	6.4426e-06
0.3	0.15	7.0531e-06
0.3	0.2	7.1946e-06
0.3	0.25	7.2357e-06
0.3	0.3	7.2551e-06
0.3	0.35	7.2684e-06
0.3	0.4	7.279e-06
0.3	0.45	7.2881e-06
0.3	0.5	7.2961e-06
0.35	0.0	1.0374e-08
0.35	0.05	6.1406e-06
0.35	0.1	9.7239e-06
0.35	0.15	1.1045e-05
0.35	0.2	1.1391e-05
0.35	0.25	1.1482e-05
0.35	0.3	1.1517e-05
0.35	0.35	1.1537e-05
0.35	0.4	1.1553e-05
0.35	0.45	1.1565e-05
0.35	0.5	1.1576e-05
0.4	0.0	1.2274e-08
0.4	0.05	7.7985e-06
0.4	0.1	1.3069e-05
0.4	0.15	1.5454e-05
0.4	0.2	1.6221e-05
0.4	0.25	1.6418e-05
0.4	0.3	1.6483e-05
0.4	0.35	1.6517e-05
0.4	0.4	1.6539e-05
0.4	0.45	1.6556e-05
0.4	0.5	1.657e-05
0.45	0.0	1.3891e-08
0.45	0.05	9.2225e-06
0.45	0.1	1.6216e-05
0.45	0.15	2.0023e-05
0.45	0.2	2.1497e-05
0.45	0.25	2.1917e-05
0.45	0.3	2.2041e-05
0.45	0.35	2.2091e-05
0.45	0.4	2.2121e-05
0.45	0.45	2.2143e-05
0.45	0.5	2.216e-05
0.5	0.0	1.5283e-08
0.5	0.05	1.0471e-05
0.5	0.1	1.9017e-05
0.5	0.15	2.4439e-05
0.5	0.2	2.6957e-05
0.5	0.25	2.7829e-05
0.5	0.3	2.808e-05
0.5	0.35	2.8169e-05
0.5	0.4	2.8212e-05
0.5	0.45	2.8242e-05
0.5	0.5	2.8263e-05
