vg	vd	ids
0.0	0.0	4.6375e-13
0.0	0.05	1.7214e-11
0.0	0.1	1.9698e-11
0.0	0.15	2.0067e-11
0.0	0.2	2.0131e-11
0.0	0.25	2.015e-11
0.0	0.3	2.0161e-11
0.0	0.35	2.017e-11
0.0	0.4	2.0179e-11
0.0	0.45	2.0187e-11
0.0	0.5	2.0194e-11
0.05	0.0	3.0709e-12
0.05	0.05	1.1825e-10
0.05	0.1	1.3543e-10
0.05	0.15	1.3801e-10
0.05	0.2	1.3846e-10
0.05	0.25	1.386e-10
0.05	0.3	1.3869e-10
0.05	0.35	1.3876e-10
0.05	0.4	1.3882e-10
0.05	0.45	1.3888e-10
0.05	0.5	1.3893e-10
0.1	0.0	2.1143e-11
0.1	0.05	8.1454e-10
0.1	0.1	9.3272e-10
0.1	0.15	9.5066e-10
0.1	0.2	9.539e-10
0.1	0.25	9.5493e-10
0.1	0.3	9.5557e-10
0.1	0.35	9.561e-10
0.1	0.4	9.5658e-10
0.1	0.45	9.5701e-10
0.1	0.5	9.5741e-10
0.15	0.0	1.4213e-10
0.15	0.05	5.5354e-09
0.15	0.1	6.3507e-09
0.15	0.15	6.4751e-09
0.15	0.2	6.4984e-09
0.15	0.25	6.5061e-09
0.15	0.3	6.511e-09
0.15	0.35	6.5151e-09
0.15	0.4	6.5186e-09
0.15	0.45	6.5219e-09
0.15	0.5	6.5248e-09
0.2	0.0	9.0405e-10
0.2	0.05	3.6219e-08
0.2	0.1	4.1778e-08
0.2	0.15	4.2646e-08
0.2	0.2	4.2811e-08
0.2	0.25	4.2869e-08
0.2	0.3	4.2905e-08
0.2	0.35	4.2935e-08
0.2	0.4	4.2961e-08
0.2	0.45	4.2984e-08
0.2	0.5	4.3005e-08
0.25	0.0	4.5e-09
0.25	0.05	2.0325e-07
0.25	0.1	2.3998e-07
0.25	0.15	2.4603e-07
0.25	0.2	2.472e-07
0.25	0.25	2.4759e-07
0.25	0.3	2.4783e-07
0.25	0.35	2.4801e-07
0.25	0.4	2.4817e-07
0.25	0.45	2.4831e-07
0.25	0.5	2.4844e-07
0.3	0.0	1.2879e-08
0.3	0.05	7.4065e-07
0.3	0.1	9.4189e-07
0.3	0.15	9.8102e-07
0.3	0.2	9.8858e-07
0.3	0.25	9.9069e-07
0.3	0.3	9.9175e-07
0.3	0.35	9.9252e-07
0.3	0.4	9.9316e-07
0.3	0.45	9.937e-07
0.3	0.5	9.9418e-07
0.35	0.0	2.1802e-08
0.35	0.05	1.5768e-06
0.35	0.1	2.266e-06
0.35	0.15	2.4557e-06
0.35	0.2	2.4982e-06
0.35	0.25	2.5077e-06
0.35	0.3	2.5111e-06
0.35	0.35	2.5132e-06
0.35	0.4	2.5147e-06
0.35	0.45	2.516e-06
0.35	0.5	2.5171e-06
0.4	0.0	2.8569e-08
0.4	0.05	2.3826e-06
0.4	0.1	3.8378e-06
0.4	0.15	4.4396e-06
0.4	0.2	4.604e-06
0.4	0.25	4.644e-06
0.4	0.3	4.6558e-06
0.4	0.35	4.6606e-06
0.4	0.4	4.6635e-06
0.4	0.45	4.6658e-06
0.4	0.5	4.6677e-06
0.45	0.0	3.3416e-08
0.45	0.05	3.0419e-06
0.45	0.1	5.2768e-06
0.45	0.15	6.5173e-06
0.45	0.2	7.0258e-06
0.45	0.25	7.1713e-06
0.45	0.3	7.2083e-06
0.45	0.35	7.2203e-06
0.45	0.4	7.2265e-06
0.45	0.45	7.2302e-06
0.45	0.5	7.233e-06
0.5	0.0	3.6898e-08
0.5	0.05	3.5324e-06
0.5	0.1	6.4131e-06
0.5	0.15	8.3716e-06
0.5	0.2	9.4417e-06
0.5	0.25	9.8549e-06
0.5	0.3	9.9772e-06
0.5	0.35	1.0011e-05
0.5	0.4	1.0024e-05
0.5	0.45	1.003e-05
0.5	0.5	1.0034e-05
