vg	vd	ids
0.0	0.0	1.5649e-12
0.0	0.05	1.4838e-09
0.0	0.1	1.7193e-09
0.0	0.15	1.7632e-09
0.0	0.2	1.7779e-09
0.0	0.25	1.7875e-09
0.0	0.3	1.7958e-09
0.0	0.35	1.8033e-09
0.0	0.4	1.8102e-09
0.0	0.45	1.8166e-09
0.0	0.5	1.8226e-09
0.05	0.0	7.231e-12
0.05	0.05	9.8335e-09
0.05	0.1	1.1418e-08
0.05	0.15	1.1717e-08
0.05	0.2	1.1817e-08
0.05	0.25	1.1882e-08
0.05	0.3	1.1937e-08
0.05	0.35	1.1987e-08
0.05	0.4	1.2032e-08
0.05	0.45	1.2074e-08
0.05	0.5	1.2113e-08
0.1	0.0	4.7431e-11
0.1	0.05	6.282e-08
0.1	0.1	7.3335e-08
0.1	0.15	7.532e-08
0.1	0.2	7.5967e-08
0.1	0.25	7.6372e-08
0.1	0.3	7.6708e-08
0.1	0.35	7.7007e-08
0.1	0.4	7.7277e-08
0.1	0.45	7.7525e-08
0.1	0.5	7.7753e-08
0.15	0.0	2.8004e-10
0.15	0.05	3.4105e-07
0.15	0.1	4.0702e-07
0.15	0.15	4.1938e-07
0.15	0.2	4.2294e-07
0.15	0.25	4.2491e-07
0.15	0.3	4.2645e-07
0.15	0.35	4.2778e-07
0.15	0.4	4.2897e-07
0.15	0.45	4.3005e-07
0.15	0.5	4.3103e-07
0.2	0.0	1.02e-09
0.2	0.05	1.2166e-06
0.2	0.1	1.5398e-06
0.2	0.15	1.6041e-06
0.2	0.2	1.6196e-06
0.2	0.25	1.6262e-06
0.2	0.3	1.6307e-06
0.2	0.35	1.6344e-06
0.2	0.4	1.6376e-06
0.2	0.45	1.6404e-06
0.2	0.5	1.643e-06
0.25	0.0	2.337e-09
0.25	0.05	2.7017e-06
0.25	0.1	3.714e-06
0.25	0.15	3.959e-06
0.25	0.2	4.0131e-06
0.25	0.25	4.031e-06
0.25	0.3	4.041e-06
0.25	0.35	4.0485e-06
0.25	0.4	4.0547e-06
0.25	0.45	4.0601e-06
0.25	0.5	4.0648e-06
0.3	0.0	4.0355e-09
0.3	0.05	4.4501e-06
0.3	0.1	6.6331e-06
0.3	0.15	7.3089e-06
0.3	0.2	7.4621e-06
0.3	0.25	7.5053e-06
0.3	0.3	7.5247e-06
0.3	0.35	7.5376e-06
0.3	0.4	7.5478e-06
0.3	0.45	7.5564e-06
0.3	0.5	7.5638e-06
0.35	0.0	5.8275e-09
0.35	0.05	6.196e-06
0.35	0.1	9.9068e-06
0.35	0.15	1.1362e-05
0.35	0.2	1.1737e-05
0.35	0.25	1.1841e-05
0.35	0.3	1.1878e-05
0.35	0.35	1.1898e-05
0.35	0.4	1.1913e-05
0.35	0.45	1.1925e-05
0.35	0.5	1.1936e-05
0.4	0.0	7.5065e-09
0.4	0.05	7.7878e-06
0.4	0.1	1.3181e-05
0.4	0.15	1.5786e-05
0.4	0.2	1.6643e-05
0.4	0.25	1.6865e-05
0.4	0.3	1.6935e-05
0.4	0.35	1.6968e-05
0.4	0.4	1.6991e-05
0.4	0.45	1.7008e-05
0.4	0.5	1.7021e-05
0.45	0.0	8.9921e-09
0.45	0.05	9.1672e-06
0.45	0.1	1.6201e-05
0.45	0.15	2.03e-05
0.45	0.2	2.193e-05
0.45	0.25	2.2435e-05
0.45	0.3	2.2577e-05
0.45	0.35	2.2631e-05
0.45	0.4	2.2661e-05
0.45	0.45	2.2683e-05
0.45	0.5	2.27e-05
0.5	0.0	1.0271e-08
0.5	0.05	1.0338e-05
0.5	0.1	1.8833e-05
0.5	0.15	2.4459e-05
0.5	0.2	2.736e-05
0.5	0.25	2.8383e-05
0.5	0.3	2.868e-05
0.5	0.35	2.878e-05
0.5	0.4	2.8827e-05
0.5	0.45	2.8856e-05
0.5	0.5	2.8879e-05
