vg	vd	ids
0.0	0.0	6.4183e-11
0.0	0.05	1.3564e-08
0.0	0.1	1.722e-08
0.0	0.15	1.9075e-08
0.0	0.2	2.0678e-08
0.0	0.25	2.2258e-08
0.0	0.3	2.3754e-08
0.0	0.35	2.5156e-08
0.0	0.4	2.6554e-08
0.0	0.45	2.7974e-08
0.0	0.5	2.9419e-08
0.05	0.0	3.3101e-10
0.05	0.05	6.9418e-08
0.05	0.1	8.8417e-08
0.05	0.15	9.8022e-08
0.05	0.2	1.0577e-07
0.05	0.25	1.1264e-07
0.05	0.3	1.1928e-07
0.05	0.35	1.2597e-07
0.05	0.4	1.3269e-07
0.05	0.45	1.3935e-07
0.05	0.5	1.4563e-07
0.1	0.0	1.4264e-09
0.1	0.05	3.1517e-07
0.1	0.1	4.0559e-07
0.1	0.15	4.4514e-07
0.1	0.2	4.7397e-07
0.1	0.25	5.0041e-07
0.1	0.3	5.249e-07
0.1	0.35	5.4724e-07
0.1	0.4	5.686e-07
0.1	0.45	5.8956e-07
0.1	0.5	6.1028e-07
0.15	0.0	4.4969e-09
0.15	0.05	1.1041e-06
0.15	0.1	1.4422e-06
0.15	0.15	1.5662e-06
0.15	0.2	1.6406e-06
0.15	0.25	1.7017e-06
0.15	0.3	1.7576e-06
0.15	0.35	1.8092e-06
0.15	0.4	1.8565e-06
0.15	0.45	1.9005e-06
0.15	0.5	1.9424e-06
0.2	0.0	9.9507e-09
0.2	0.05	2.741e-06
0.2	0.1	3.691e-06
0.2	0.15	3.9814e-06
0.2	0.2	4.1246e-06
0.2	0.25	4.2217e-06
0.2	0.3	4.3049e-06
0.2	0.35	4.3808e-06
0.2	0.4	4.4512e-06
0.2	0.45	4.5166e-06
0.2	0.5	4.5775e-06
0.25	0.0	1.6916e-08
0.25	0.05	5.1141e-06
0.25	0.1	7.1985e-06
0.25	0.15	7.8132e-06
0.25	0.2	8.0407e-06
0.25	0.25	8.1695e-06
0.25	0.3	8.2714e-06
0.25	0.35	8.3608e-06
0.25	0.4	8.4424e-06
0.25	0.45	8.5185e-06
0.25	0.5	8.59e-06
0.3	0.0	2.4382e-08
0.3	0.05	7.8763e-06
0.3	0.1	1.1701e-05
0.3	0.15	1.2911e-05
0.3	0.2	1.3262e-05
0.3	0.25	1.3439e-05
0.3	0.3	1.3556e-05
0.3	0.35	1.3655e-05
0.3	0.4	1.3744e-05
0.3	0.45	1.3825e-05
0.3	0.5	1.39e-05
0.35	0.0	3.1695e-08
0.35	0.05	1.0703e-05
0.35	0.1	1.683e-05
0.35	0.15	1.9043e-05
0.35	0.2	1.9671e-05
0.35	0.25	1.99e-05
0.35	0.3	2.0037e-05
0.35	0.35	2.0143e-05
0.35	0.4	2.0244e-05
0.35	0.45	2.0328e-05
0.35	0.5	2.0405e-05
0.4	0.0	3.8489e-08
0.4	0.05	1.3375e-05
0.4	0.1	2.2174e-05
0.4	0.15	2.5968e-05
0.4	0.2	2.7099e-05
0.4	0.25	2.7469e-05
0.4	0.3	2.7641e-05
0.4	0.35	2.7758e-05
0.4	0.4	2.7856e-05
0.4	0.45	2.7941e-05
0.4	0.5	2.802e-05
0.45	0.0	4.4616e-08
0.45	0.05	1.5787e-05
0.45	0.1	2.7347e-05
0.45	0.15	3.3259e-05
0.45	0.2	3.5366e-05
0.45	0.25	3.6004e-05
0.45	0.3	3.6248e-05
0.45	0.35	3.6388e-05
0.45	0.4	3.6494e-05
0.45	0.45	3.6584e-05
0.45	0.5	3.667e-05
0.5	0.0	5.007e-08
0.5	0.05	1.7919e-05
0.5	0.1	3.2093e-05
0.5	0.15	4.0579e-05
0.5	0.2	4.4192e-05
0.5	0.25	4.5352e-05
0.5	0.3	4.5746e-05
0.5	0.35	4.5932e-05
0.5	0.4	4.6055e-05
0.5	0.45	4.6159e-05
0.5	0.5	4.6245e-05
