vg	vd	ids
0.0	0.0	3.0168e-11
0.0	0.05	3.8483e-09
0.0	0.1	4.5723e-09
0.0	0.15	4.7915e-09
0.0	0.2	4.9251e-09
0.0	0.25	5.0409e-09
0.0	0.3	5.1499e-09
0.0	0.35	5.2541e-09
0.0	0.4	5.3535e-09
0.0	0.45	5.4472e-09
0.0	0.5	5.5347e-09
0.05	0.0	1.8607e-10
0.05	0.05	2.372e-08
0.05	0.1	2.8251e-08
0.05	0.15	2.9615e-08
0.05	0.2	3.0447e-08
0.05	0.25	3.1159e-08
0.05	0.3	3.1811e-08
0.05	0.35	3.2407e-08
0.05	0.4	3.2954e-08
0.05	0.45	3.3465e-08
0.05	0.5	3.3949e-08
0.1	0.0	1.0344e-09
0.1	0.05	1.3613e-07
0.1	0.1	1.6334e-07
0.1	0.15	1.7124e-07
0.1	0.2	1.7564e-07
0.1	0.25	1.7916e-07
0.1	0.3	1.823e-07
0.1	0.35	1.8522e-07
0.1	0.4	1.8797e-07
0.1	0.45	1.9055e-07
0.1	0.5	1.9298e-07
0.15	0.0	4.1987e-09
0.15	0.05	6.1967e-07
0.15	0.1	7.6246e-07
0.15	0.15	7.9884e-07
0.15	0.2	8.1539e-07
0.15	0.25	8.2742e-07
0.15	0.3	8.3772e-07
0.15	0.35	8.4699e-07
0.15	0.4	8.5551e-07
0.15	0.45	8.6343e-07
0.15	0.5	8.7084e-07
0.2	0.0	1.0589e-08
0.2	0.05	1.8453e-06
0.2	0.1	2.3928e-06
0.2	0.15	2.5222e-06
0.2	0.2	2.5651e-06
0.2	0.25	2.5899e-06
0.2	0.3	2.6094e-06
0.2	0.35	2.6264e-06
0.2	0.4	2.6431e-06
0.2	0.45	2.6571e-06
0.2	0.5	2.67e-06
0.25	0.0	1.8567e-08
0.25	0.05	3.7228e-06
0.25	0.1	5.1809e-06
0.25	0.15	5.5467e-06
0.25	0.2	5.6481e-06
0.25	0.25	5.6895e-06
0.25	0.3	5.7173e-06
0.25	0.35	5.7401e-06
0.25	0.4	5.7602e-06
0.25	0.45	5.7782e-06
0.25	0.5	5.7947e-06
0.3	0.0	2.6554e-08
0.3	0.05	5.89e-06
0.3	0.1	8.7722e-06
0.3	0.15	9.6756e-06
0.3	0.2	9.8932e-06
0.3	0.25	9.9699e-06
0.3	0.3	1.0009e-05
0.3	0.35	1.0038e-05
0.3	0.4	1.0062e-05
0.3	0.45	1.0084e-05
0.3	0.5	1.0103e-05
0.35	0.0	3.3813e-08
0.35	0.05	8.0523e-06
0.35	0.1	1.2796e-05
0.35	0.15	1.4619e-05
0.35	0.2	1.5099e-05
0.35	0.25	1.5235e-05
0.35	0.3	1.5293e-05
0.35	0.35	1.5334e-05
0.35	0.4	1.5364e-05
0.35	0.45	1.5389e-05
0.35	0.5	1.5411e-05
0.4	0.0	4.0146e-08
0.4	0.05	1.0033e-05
0.4	0.1	1.6849e-05
0.4	0.15	2.0066e-05
0.4	0.2	2.1049e-05
0.4	0.25	2.1326e-05
0.4	0.3	2.1422e-05
0.4	0.35	2.1472e-05
0.4	0.4	2.1509e-05
0.4	0.45	2.1538e-05
0.4	0.5	2.1564e-05
0.45	0.0	4.5614e-08
0.45	0.05	1.1765e-05
0.45	0.1	2.0626e-05
0.45	0.15	2.5601e-05
0.45	0.2	2.7525e-05
0.45	0.25	2.8083e-05
0.45	0.3	2.8255e-05
0.45	0.35	2.833e-05
0.45	0.4	2.8377e-05
0.45	0.45	2.8415e-05
0.45	0.5	2.8446e-05
0.5	0.0	5.0339e-08
0.5	0.05	1.3248e-05
0.5	0.1	2.3957e-05
0.5	0.15	3.0944e-05
0.5	0.2	3.4235e-05
0.5	0.25	3.5334e-05
0.5	0.3	3.5678e-05
0.5	0.35	3.5802e-05
0.5	0.4	3.5865e-05
0.5	0.45	3.5908e-05
0.5	0.5	3.5943e-05
